llavehog,llaveviv,p2_8,folio,viv_sel,hogar,est_dis,upm_dis,fac_hog
92161,9216,2,92,16,1,115,1405,6115
93021,9302,1,93,2,1,185,2139,1468
94031,9403,1,94,3,1,79,991,8242
95051,9505,2,95,5,1,144,1687,3018
96191,9619,0,96,19,1,136,1588,1337
97031,9703,3,97,3,1,138,1604,1399
98161,9816,1,98,16,1,110,1375,5038
99041,9904,1,99,4,1,155,1818,1651
100011,10001,1,100,1,1,81,1014,20259
101031,10103,1,101,3,1,139,1641,1237
102031,10203,2,102,3,1,86,1089,2758
103051,10305,1,103,5,1,23,245,744
104051,10405,1,104,5,1,49,658,3100
105021,10502,0,105,2,1,30,357,1426
106021,10602,2,106,2,1,30,356,1435
107091,10709,2,107,9,1,147,1736,2632
108041,10804,2,108,4,1,50,754,1844
109111,10911,0,109,11,1,56,830,5624
110051,11005,2,110,5,1,45,521,3216
111021,11102,2,111,2,1,103,1239,952
112011,11201,1,112,1,1,77,969,10589
113051,11305,1,113,5,1,78,981,8739
113052,11305,1,113,5,2,78,981,8739
113053,11305,1,113,5,3,78,981,8739
114011,11401,2,114,1,1,138,1607,1334
115011,11501,1,115,1,1,85,1029,15501
116011,11601,0,116,1,1,71,938,2501
117101,11710,1,117,10,1,88,1108,4784
118061,11806,2,118,6,1,153,1812,2385
119041,11904,2,119,4,1,29,282,1851
120011,12001,2,120,1,1,163,1942,1708
121131,12113,2,121,13,1,67,923,1581
122151,12215,1,122,15,1,42,480,3631
123041,12304,3,123,4,1,85,1041,12342
124041,12404,1,124,4,1,145,1720,1138
125051,12505,1,125,5,1,152,1797,2217
126021,12602,1,126,2,1,44,504,2767
127141,12714,2,127,14,1,83,1024,5447
128051,12805,1,128,5,1,35,420,813
129041,12904,3,129,4,1,146,1728,3474
130021,13002,1,130,2,1,23,246,730
131051,13105,2,131,5,1,46,538,3159
132081,13208,2,132,8,1,111,1385,3030
133191,13319,1,133,19,1,110,1375,5038
134021,13402,2,134,2,1,85,1047,11613
135131,13513,0,135,13,1,135,1586,1785
136011,13601,2,136,1,1,29,319,1519
136012,13601,1,136,1,2,29,319,1519
137081,13708,1,137,8,1,125,1467,2137
138081,13808,1,138,8,1,136,1589,1281
139041,13904,2,139,4,1,50,715,3333
140041,14004,2,140,4,1,163,1927,1789
141101,14110,1,141,10,1,173,2041,4774
142041,14204,1,142,4,1,169,2008,972
143041,14304,4,143,4,1,163,1945,1669
144091,14409,1,144,9,1,2,6,392
145141,14514,3,145,14,1,14,148,833
146171,14617,3,146,17,1,153,1808,2893
147031,14703,3,147,3,1,133,1564,1797
148011,14801,1,148,1,1,86,1087,7105
149041,14904,1,149,4,1,85,1027,15661
150021,15002,6,150,2,1,141,1674,2757
151081,15108,1,151,8,1,26,274,1433
152031,15203,2,152,3,1,79,996,7162
153011,15301,2,153,1,1,13,147,488
154041,15404,2,154,4,1,81,1015,19018
155041,15504,1,155,4,1,164,1956,2005
156021,15602,1,156,2,1,183,2122,1914
157041,15704,0,157,4,1,35,414,927
158161,15816,1,158,16,1,137,1600,973
159031,15903,0,159,3,1,176,2072,5967
160011,16001,1,160,1,1,152,1799,2201
161041,16104,3,161,4,1,158,1839,3897
162021,16202,0,162,2,1,98,1197,1206
163081,16308,0,163,8,1,89,1112,3110
163082,16308,1,163,8,2,89,1112,3110
164061,16406,1,164,6,1,111,1379,3848
165011,16501,1,165,1,1,68,924,5515
166011,16601,2,166,1,1,183,2111,2375
167031,16703,1,167,3,1,65,899,2997
168051,16805,2,168,5,1,34,411,728
169021,16902,2,169,2,1,49,636,3624
170051,17005,1,170,5,1,91,1127,3613
171181,17118,2,171,18,1,173,2043,4521
172051,17205,1,172,5,1,126,1475,1858
173161,17316,2,173,16,1,129,1514,2031
174201,17420,1,174,20,1,137,1600,973
175171,17517,0,175,17,1,166,1969,729
176121,17612,3,176,12,1,110,1376,4727
177201,17720,4,177,20,1,155,1818,1651
178031,17803,2,178,3,1,75,961,16402
179051,17905,1,179,5,1,5,34,1336
180041,18004,1,180,4,1,15,154,728
181041,18104,1,181,4,1,67,919,1831
182041,18204,1,182,4,1,162,1887,1655
183101,18310,1,183,10,1,56,832,4770
184021,18402,2,184,2,1,170,2015,1223
185051,18505,1,185,5,1,8,63,1922
186071,18607,3,186,7,1,83,1023,11415
187021,18702,2,187,2,1,127,1488,1944
188021,18802,2,188,2,1,17,190,687
189041,18904,2,189,4,1,17,187,709
190021,19002,4,190,2,1,169,2006,987
191041,19104,1,191,4,1,107,1324,3029
192111,19211,1,192,11,1,12,144,592
193121,19312,2,193,12,1,147,1737,2630
194021,19402,4,194,2,1,107,1302,3301
195041,19504,1,195,4,1,106,1283,3163
196191,19619,3,196,19,1,153,1809,2602
197051,19705,2,197,5,1,92,1128,5229
198051,19805,3,198,5,1,106,1286,3116
199041,19904,1,199,4,1,189,2161,1175
200031,20003,1,200,3,1,151,1788,1815
201181,20118,1,201,18,1,56,830,5624
202011,20201,2,202,1,1,34,402,809
203011,20301,1,203,1,1,128,1501,2174
204091,20409,3,204,9,1,149,1740,2152
205041,20504,1,205,4,1,39,451,3817
206021,20602,2,206,2,1,108,1336,3506
207031,20703,1,207,3,1,49,624,3913
208051,20805,1,208,5,1,140,1658,1434
209101,20910,2,209,10,1,20,223,797
210041,21004,1,210,4,1,66,908,3730
211041,21104,1,211,4,1,49,640,3566
212051,21205,1,212,5,1,144,1697,2258
213021,21302,2,213,2,1,52,768,1450
214071,21407,1,214,7,1,67,919,1831
215171,21517,2,215,17,1,111,1381,3504
216041,21604,2,216,4,1,106,1271,3317
217041,21704,0,217,4,1,189,2157,1267
218091,21809,2,218,9,1,56,831,4889
219041,21904,2,219,4,1,79,986,9208
220021,22002,2,220,2,1,132,1535,1754
221021,22102,2,221,2,1,30,346,1489
222041,22204,0,222,4,1,98,1199,1137
223051,22305,1,223,5,1,29,319,1519
224201,22420,1,224,20,1,56,832,4770
225011,22501,2,225,1,1,107,1322,3056
226121,22612,0,226,12,1,20,223,797
227051,22705,2,227,5,1,131,1521,1873
228011,22801,2,228,1,1,160,1848,1343
229041,22904,3,229,4,1,78,973,11411
230041,23004,0,230,4,1,52,771,1323
231051,23105,1,231,5,1,167,1973,2789
232021,23202,1,232,2,1,162,1907,1463
233041,23304,0,233,4,1,183,2119,2058
234041,23404,2,234,4,1,154,1814,2660
235031,23503,2,235,3,1,137,1600,973
236041,23604,1,236,4,1,121,1446,3141
236042,23604,2,236,4,2,121,1446,3141
236043,23604,2,236,4,3,121,1446,3141
237031,23703,2,237,3,1,79,993,7413
238181,23818,4,238,18,1,61,876,2994
239041,23904,2,239,4,1,29,309,1601
240021,24002,1,240,2,1,79,992,7674
241011,24101,2,241,1,1,103,1237,1027
242041,24204,2,242,4,1,169,2005,989
243181,24318,1,243,18,1,147,1735,2939
244041,24404,0,244,4,1,49,668,2665
245021,24502,2,245,2,1,139,1643,1214
246041,24604,1,246,4,1,145,1699,2772
247011,24701,4,247,1,1,166,1966,2755
248051,24805,1,248,5,1,9,92,2345
249021,24902,1,249,2,1,24,252,863
250021,25002,1,250,2,1,105,1255,1919
251021,25102,0,251,2,1,97,1160,1876
252051,25205,1,252,5,1,75,962,15240
253021,25302,2,253,2,1,9,78,3090
254131,25413,1,254,13,1,143,1680,2209
255021,25502,2,255,2,1,183,2118,2076
256071,25607,1,256,7,1,47,556,1507
257051,25705,1,257,5,1,152,1801,2119
258071,25807,1,258,7,1,96,1157,995
259031,25903,2,259,3,1,77,969,10589
260011,26001,2,260,1,1,162,1909,1376
261141,26114,4,261,14,1,167,1976,500
262011,26201,0,262,1,1,9,66,3514
263041,26304,1,263,4,1,42,479,11188
264101,26410,1,264,10,1,101,1218,1072
265031,26503,3,265,3,1,126,1478,1530
266131,26613,1,266,13,1,110,1376,4727
267041,26704,3,267,4,1,102,1222,1297
268011,26801,1,268,1,1,58,842,5870
269051,26905,1,269,5,1,132,1552,1391
270131,27013,3,270,13,1,94,1149,884
271021,27102,2,271,2,1,99,1202,1757
272031,27203,0,272,3,1,97,1170,1534
273121,27312,0,273,12,1,117,1411,4824
274041,27404,1,274,4,1,10,106,2989
275091,27509,2,275,9,1,7,60,4118
276051,27605,1,276,5,1,130,1515,1790
277121,27712,1,277,12,1,155,1819,1628
278041,27804,1,278,4,1,35,431,727
279011,27901,2,279,1,1,140,1653,1511
280061,28006,1,280,6,1,71,937,2578
281051,28105,2,281,5,1,162,1908,1446
282051,28205,0,282,5,1,163,1916,1950
283011,28301,2,283,1,1,31,379,1799
284051,28405,2,284,5,1,54,815,1250
285011,28501,1,285,1,1,128,1505,2103
286051,28605,4,286,5,1,41,471,4775
287021,28702,1,287,2,1,162,1899,1566
288041,28804,2,288,4,1,54,797,1406
289181,28918,0,289,18,1,27,276,1431
290051,29005,0,290,5,1,37,443,3934
291091,29109,2,291,9,1,56,830,5624
292021,29202,1,292,2,1,169,1993,1100
293051,29305,1,293,5,1,40,461,4346
294111,29411,1,294,11,1,101,1217,1108
295171,29517,1,295,17,1,43,482,3070
296041,29604,1,296,4,1,85,1030,15076
297011,29701,1,297,1,1,48,602,1454
298131,29813,1,298,13,1,71,937,2578
298132,29813,0,298,13,2,71,937,2578
299041,29904,0,299,4,1,30,348,1476
300021,30002,1,300,2,1,108,1349,3340
301031,30103,2,301,3,1,39,452,3699
302031,30203,1,302,3,1,44,495,2970
303021,30302,3,303,2,1,49,623,3934
304021,30402,2,304,2,1,31,379,1799
305031,30503,2,305,3,1,152,1805,1980
306031,30603,0,306,3,1,37,443,3934
307051,30705,2,307,5,1,58,840,6057
308021,30802,2,308,2,1,9,90,2545
309011,30901,2,309,1,1,164,1960,1830
310011,31001,1,310,1,1,184,2135,2421
311021,31102,1,311,2,1,145,1703,2703
312021,31202,2,312,2,1,39,450,4023
313011,31301,2,313,1,1,164,1959,1904
314011,31401,2,314,1,1,132,1532,1887
315011,31501,2,315,1,1,102,1222,1297
316041,31604,2,316,4,1,72,945,1958
317021,31702,2,317,2,1,86,1078,10950
318151,31815,1,318,15,1,142,1677,2524
319051,31905,1,319,5,1,54,803,1326
320021,32002,0,320,2,1,49,614,4170
321011,32101,0,321,1,1,162,1854,1989
322031,32203,1,322,3,1,24,254,842
323021,32302,0,323,2,1,103,1231,1105
324161,32416,0,324,16,1,96,1156,1044
325071,32507,2,325,7,1,96,1156,1044
326131,32613,3,326,13,1,3,8,1437
327131,32713,2,327,13,1,172,2037,7996
328051,32805,2,328,5,1,170,2015,1223
329161,32916,0,329,16,1,172,2038,7996
330031,33003,0,330,3,1,162,1876,1713
331131,33113,2,331,13,1,100,1212,1495
332031,33203,1,332,3,1,113,1397,2146
333011,33301,1,333,1,1,49,659,3093
334031,33403,0,334,3,1,172,2035,8923
335031,33503,1,335,3,1,73,950,2414
336151,33615,1,336,15,1,155,1818,1651
337091,33709,1,337,9,1,116,1407,6595
338011,33801,1,338,1,1,30,335,1555
339061,33906,2,339,6,1,154,1814,2660
340031,34003,2,340,3,1,18,200,1048
341171,34117,1,341,17,1,52,770,1405
342011,34201,2,342,1,1,106,1262,3621
343011,34301,2,343,1,1,5,33,1371
344031,34403,1,344,3,1,45,524,3117
345191,34519,1,345,19,1,94,1147,957
346011,34601,1,346,1,1,127,1482,2035
347181,34718,1,347,18,1,173,2040,4785
348151,34815,4,348,15,1,67,920,1739
349051,34905,2,349,5,1,2,6,392
350021,35002,1,350,2,1,120,1422,5722
351121,35112,1,351,12,1,96,1157,995
352171,35217,3,352,17,1,153,1813,2357
353031,35303,3,353,3,1,5,44,882
354021,35402,1,354,2,1,164,1959,1904
355121,35512,1,355,12,1,167,1976,500
356161,35616,1,356,16,1,166,1969,729
357041,35704,0,357,4,1,48,602,1454
358031,35803,1,358,3,1,58,840,6057
359011,35901,0,359,1,1,170,2018,1060
360011,36001,2,360,1,1,15,158,585
361041,36104,1,361,4,1,85,1057,9893
362011,36201,1,362,1,1,134,1577,1657
363041,36304,1,363,4,1,68,928,1288
364011,36401,2,364,1,1,140,1657,1444
365161,36516,1,365,16,1,61,878,2843
366161,36616,1,366,16,1,160,1848,1343
367051,36705,1,367,5,1,190,2170,1959
368121,36812,2,368,12,1,81,1018,5909
369121,36912,0,369,12,1,39,455,3338
370021,37002,1,370,2,1,52,774,1138
371031,37103,1,371,3,1,75,966,3387
372021,37202,3,372,2,1,49,619,4117
373021,37302,3,373,2,1,78,980,9014
374011,37401,1,374,1,1,162,1893,1611
375021,37502,1,375,2,1,103,1237,1027
376011,37601,1,376,1,1,85,1032,13530
377051,37705,1,377,5,1,107,1301,3306
378201,37820,2,378,20,1,39,456,3330
379041,37904,2,379,4,1,22,230,474
380021,38002,0,380,2,1,85,1054,10409
381181,38118,0,381,18,1,111,1382,3286
382041,38204,1,382,4,1,170,2027,908
383201,38320,2,383,20,1,159,1843,2250
384051,38405,3,384,5,1,10,111,2857
385051,38505,3,385,5,1,29,282,1851
386021,38602,3,386,2,1,54,813,1277
387041,38704,1,387,4,1,87,1095,11960
388081,38808,3,388,8,1,105,1255,1919
389031,38903,1,389,3,1,154,1814,2660
390091,39009,1,390,9,1,71,939,2376
391051,39105,2,391,5,1,4,27,1069
392051,39205,3,392,5,1,16,175,625
393051,39305,1,393,5,1,45,529,3028
394051,39405,1,394,5,1,50,704,3500
395171,39517,0,395,17,1,143,1680,2209
396051,39605,1,396,5,1,53,782,1294
397011,39701,0,397,1,1,119,1416,4593
398021,39802,1,398,2,1,58,856,4181
399031,39903,2,399,3,1,121,1447,1361
400021,40002,0,400,2,1,39,456,3330
401031,40103,2,401,3,1,58,845,5229
402151,40215,1,402,15,1,112,1386,3430
403151,40315,3,403,15,1,141,1674,2757
404171,40417,1,404,17,1,105,1254,2584
405011,40501,1,405,1,1,188,2152,1515
406051,40605,4,406,5,1,25,265,978
407191,40719,1,407,19,1,137,1595,1121
408011,40801,0,408,1,1,35,418,826
409031,40903,1,409,3,1,29,298,1669
410021,41002,1,410,2,1,30,352,1452
411041,41104,1,411,4,1,49,673,1454
412031,41203,1,412,3,1,152,1804,2023
413051,41305,1,413,5,1,33,395,576
414041,41404,1,414,4,1,45,535,2768
415141,41514,3,415,14,1,116,1409,5069
416021,41602,2,416,2,1,9,70,3330
417151,41715,1,417,15,1,70,932,2540
418051,41805,2,418,5,1,183,2117,2111
419031,41903,1,419,3,1,40,464,4088
420031,42003,1,420,3,1,145,1719,2356
421151,42115,1,421,15,1,21,225,1029
422201,42220,2,422,20,1,13,146,496
423041,42304,2,423,4,1,50,680,4276
424011,42401,2,424,1,1,9,73,3206
425031,42503,1,425,3,1,107,1332,1023
426141,42614,2,426,14,1,117,1413,3844
427041,42704,3,427,4,1,139,1646,1169
428011,42801,1,428,1,1,136,1588,1337
429191,42919,1,429,19,1,39,450,4023
430051,43005,2,430,5,1,65,902,2856
431041,43104,2,431,4,1,23,246,730
431042,43104,1,431,4,2,23,246,730
432011,43201,2,432,1,1,151,1786,1977
433051,43305,2,433,5,1,53,780,1306
434021,43402,1,434,2,1,25,266,878
435031,43503,0,435,3,1,183,2123,1910
436041,43604,1,436,4,1,40,470,2325
437041,43704,1,437,4,1,9,76,3158
438051,43805,1,438,5,1,6,49,1395
439011,43901,1,439,1,1,134,1573,2057
440031,44003,2,440,3,1,64,890,4317
441011,44101,0,441,1,1,50,705,3499
442011,44201,2,442,1,1,132,1544,1573
443031,44303,0,443,3,1,172,2034,32524
444041,44404,2,444,4,1,139,1651,1027
445041,44504,1,445,4,1,113,1394,3011
446011,44601,1,446,1,1,162,1901,1547
447051,44705,1,447,5,1,91,1118,4504
448021,44802,2,448,2,1,169,1984,1177
449021,44902,1,449,2,1,162,1871,1732
450011,45001,0,450,1,1,50,714,3398
451111,45111,1,451,11,1,63,884,3037
452031,45203,2,452,3,1,19,220,820
453011,45301,1,453,1,1,66,910,3312
454031,45403,2,454,3,1,44,498,2876
455021,45502,1,455,2,1,154,1816,2554
456061,45606,1,456,6,1,148,1738,2836
457091,45709,0,457,9,1,179,2087,1839
457092,45709,1,457,9,2,179,2087,1839
458091,45809,1,458,9,1,153,1811,2396
459181,45918,0,459,18,1,33,395,576
460041,46004,1,460,4,1,97,1174,1500
461081,46108,1,461,8,1,153,1811,2396
462081,46208,1,462,8,1,56,832,4770
463021,46302,2,463,2,1,102,1222,1297
464011,46401,1,464,1,1,111,1380,3726
465011,46501,2,465,1,1,49,678,1000
466101,46610,2,466,10,1,96,1157,995
467021,46702,2,467,2,1,132,1554,1316
467022,46702,0,467,2,2,132,1554,1316
468031,46803,1,468,3,1,10,108,2939
469051,46905,1,469,5,1,22,233,354
470041,47004,2,470,4,1,54,812,1291
471021,47102,1,471,2,1,134,1580,1129
472031,47203,0,472,3,1,151,1786,1977
473041,47304,1,473,4,1,103,1227,1201
474051,47405,2,474,5,1,169,1991,1103
475011,47501,1,475,1,1,49,624,3913
476041,47604,2,476,4,1,50,745,2439
477031,47703,2,477,3,1,141,1675,2637
478051,47805,1,478,5,1,9,80,3018
479041,47904,0,479,4,1,144,1684,4596
480041,48004,1,480,4,1,64,890,4317
481101,48110,3,481,10,1,149,1742,1939
482031,48203,2,482,3,1,9,86,2729
483011,48301,3,483,1,1,47,557,672
484011,48401,2,484,1,1,108,1358,3240
485141,48514,1,485,14,1,101,1216,1115
486031,48603,1,486,3,1,48,588,3638
487031,48703,1,487,3,1,83,1023,11415
488051,48805,2,488,5,1,16,179,561
489191,48919,2,489,19,1,71,937,2578
490151,49015,1,490,15,1,1,3,848
491051,49105,5,491,5,1,16,170,667
492051,49205,1,492,5,1,45,523,3117
493051,49305,1,493,5,1,48,593,3459
494181,49418,2,494,18,1,137,1595,1121
495081,49508,1,495,8,1,105,1250,2996
496021,49602,4,496,2,1,106,1290,2978
497091,49709,1,497,9,1,180,2092,2522
498091,49809,1,498,9,1,155,1820,1502
499021,49902,2,499,2,1,146,1733,2850
500091,50009,1,500,9,1,71,935,2985
501041,50104,1,501,4,1,24,254,842
502051,50205,2,502,5,1,4,23,1189
503171,50317,2,503,17,1,105,1250,2996
504051,50405,1,504,5,1,48,583,3806
505151,50515,1,505,15,1,159,1843,2250
506051,50605,1,506,5,1,107,1308,3224
507191,50719,1,507,19,1,100,1209,1651
508071,50807,0,508,7,1,39,456,3330
509041,50904,1,509,4,1,89,1113,3095
509042,50904,1,509,4,2,89,1113,3095
510041,51004,1,510,4,1,160,1846,1388
511041,51104,2,511,4,1,156,1830,1676
512051,51205,1,512,5,1,40,463,4100
513011,51301,4,513,1,1,5,40,1118
514021,51402,8,514,2,1,9,68,3501
515051,51505,3,515,5,1,79,997,6613
516031,51603,3,516,3,1,108,1348,3345
517011,51701,2,517,1,1,132,1551,1406
518051,51805,1,518,5,1,107,1299,3334
519051,51905,3,519,5,1,26,273,1479
520021,52002,1,520,2,1,5,35,1296
521031,52103,1,521,3,1,45,536,2447
522021,52202,1,522,2,1,145,1711,2513
523031,52303,2,523,3,1,163,1930,1776
524051,52405,2,524,5,1,155,1821,1493
525021,52502,2,525,2,1,140,1672,967
526021,52602,1,526,2,1,65,906,1456
527041,52704,1,527,4,1,45,521,3216
528031,52803,1,528,3,1,113,1389,3090
529121,52912,1,529,12,1,105,1254,2584
530021,53002,2,530,2,1,113,1393,3021
531051,53105,1,531,5,1,48,592,3525
532171,53217,2,532,17,1,76,968,7378
533021,53302,1,533,2,1,18,203,822
534041,53404,2,534,4,1,128,1504,2131
535061,53506,2,535,6,1,135,1585,1797
536061,53606,1,536,6,1,153,1808,2893
537051,53705,1,537,5,1,149,1740,2152
538031,53803,3,538,3,1,48,562,4673
539141,53914,0,539,14,1,174,2045,5770
540011,54001,1,540,1,1,85,1039,12518
541051,54105,2,541,5,1,43,485,1975
542131,54213,2,542,13,1,26,272,1902
543181,54318,1,543,18,1,155,1821,1493
544101,54410,1,544,10,1,21,225,1029
545031,54503,1,545,3,1,95,1153,2025
546141,54614,3,546,14,1,56,831,4889
547021,54702,2,547,2,1,132,1541,1625
548101,54810,0,548,10,1,135,1586,1785
549011,54901,2,549,1,1,182,2098,2146
550111,55011,1,550,11,1,154,1814,2660
551171,55117,1,551,17,1,187,2146,1688
552031,55203,0,552,3,1,60,871,7159
553111,55311,1,553,11,1,178,2084,2239
554111,55411,1,554,11,1,153,1811,2396
555021,55502,0,555,2,1,101,1217,1108
556141,55614,1,556,14,1,8,62,1927
557051,55705,1,557,5,1,126,1470,2278
558051,55805,1,558,5,1,177,2080,10259
559021,55902,1,559,2,1,169,2001,1021
560031,56003,0,560,3,1,107,1316,3120
561101,56110,0,561,10,1,111,1384,3206
562141,56214,1,562,14,1,159,1842,2431
563031,56303,1,563,3,1,108,1369,2848
564181,56418,1,564,18,1,57,836,4721
565141,56514,1,565,14,1,90,1116,3460
566031,56603,0,566,3,1,127,1483,2002
567031,56703,2,567,3,1,96,1156,1044
568011,56801,1,568,1,1,133,1564,1797
569021,56902,5,569,2,1,16,169,677
570011,57001,1,570,1,1,46,549,3082
571011,57101,1,571,1,1,106,1274,3242
572051,57205,0,572,5,1,67,922,1613
573041,57304,1,573,4,1,18,206,769
574051,57405,1,574,5,1,50,699,3527
575061,57506,4,575,6,1,88,1109,4626
576041,57604,2,576,4,1,98,1195,1209
577051,57705,1,577,5,1,101,1217,1108
578021,57802,0,578,2,1,107,1303,3279
579011,57901,1,579,1,1,125,1465,3729
580051,58005,0,580,5,1,39,449,4091
581031,58103,2,581,3,1,163,1925,1824
582041,58204,1,582,4,1,38,446,6693
583021,58302,2,583,2,1,53,795,1181
584041,58404,1,584,4,1,98,1190,1362
585041,58504,1,585,4,1,50,709,3450
586171,58617,1,586,17,1,63,885,2839
587051,58705,1,587,5,1,140,1655,1467
588031,58803,1,588,3,1,175,2052,6484
589021,58902,0,589,2,1,90,1116,3460
590081,59008,2,590,8,1,77,970,8757
591041,59104,1,591,4,1,25,264,995
592051,59205,1,592,5,1,160,1848,1343
593011,59301,2,593,1,1,46,546,3168
594131,59413,1,594,13,1,147,1737,2630
595021,59502,0,595,2,1,11,132,2860
596071,59607,0,596,7,1,111,1383,3212
597041,59704,1,597,4,1,49,608,4537
598021,59802,1,598,2,1,24,260,692
599031,59903,4,599,3,1,128,1497,2392
600121,60012,1,600,12,1,135,1586,1785
601051,60105,2,601,5,1,104,1246,891
602051,60205,1,602,5,1,15,155,720
603051,60305,2,603,5,1,29,302,1646
604091,60409,1,604,9,1,21,226,887
605021,60502,2,605,2,1,44,514,2406
606011,60601,1,606,1,1,108,1348,3345
607121,60712,1,607,12,1,70,933,2426
608191,60819,0,608,19,1,28,279,1313
609011,60901,1,609,1,1,48,594,3319
610041,61004,1,610,4,1,85,1050,11321
611031,61103,1,611,3,1,57,838,3502
612011,61201,1,612,1,1,24,255,837
613071,61307,4,613,7,1,166,1971,658
614021,61402,4,614,2,1,44,501,2795
615101,61510,2,615,10,1,112,1386,3430
616101,61610,0,616,10,1,155,1818,1651
617051,61705,2,617,5,1,163,1927,1789
618011,61801,2,618,1,1,29,300,1661
619191,61919,2,619,19,1,117,1411,4824
620041,62004,1,620,4,1,90,1117,3299
621131,62113,0,621,13,1,143,1682,2124
622021,62202,0,622,2,1,126,1475,1858
623061,62306,2,623,6,1,172,2035,8923
624021,62402,2,624,2,1,31,370,1942
625071,62507,2,625,7,1,94,1148,948
626041,62604,2,626,4,1,153,1810,2576
627121,62712,1,627,12,1,39,448,4578
628011,62801,2,628,1,1,6,57,1148
629051,62905,1,629,5,1,151,1769,2313
630031,63003,4,630,3,1,32,391,636
631031,63103,1,631,3,1,170,2026,917
632091,63209,4,632,9,1,75,964,4181
633031,63303,1,633,3,1,95,1152,3409
634041,63404,2,634,4,1,183,2118,2076
635121,63512,2,635,12,1,172,2035,8923
636051,63605,2,636,5,1,49,676,1034
637011,63701,3,637,1,1,122,1459,760
