[2026-02-12 23:04:17] | APROBADO | 100 | 0.16 | 15000.0 | Negocio
[2026-02-13 13:10:53] | APROBADO | 100 | 0.12 | 13493.83 | Negocio
[2026-02-13 13:10:53] | APROBADO | 100 | 0.13 | 7876.97 | Negocio
[2026-02-13 13:10:53] | RECHAZADO | 48 | 0.19 | 11345.11 | Consumo
[2026-02-13 13:10:53] | RECHAZADO | 2 | 0.61 | 29311.61 | Vacaciones
[2026-02-13 13:10:53] | RECHAZADO | 43 | 0.23 | 6201.67 | Vacaciones
[2026-02-13 13:10:53] | APROBADO | 100 | 0.18 | 10134.23 | Negocio
[2026-02-13 13:10:53] | APROBADO | 82 | 0.29 | 8580.29 | Consumo
[2026-02-13 13:10:53] | APROBADO | 100 | 0.12 | 14953.16 | Negocio
[2026-02-13 13:10:53] | APROBADO | 100 | 0.07 | 4892.96 | Educacion
[2026-02-13 13:10:53] | RECHAZADO | 0 | 0.74 | 10539.43 | Consumo
[2026-02-13 13:10:53] | APROBADO | 100 | 0.09 | 13234.95 | Negocio
[2026-02-13 13:10:53] | APROBADO | 100 | 0.17 | 16566.79 | Consumo
[2026-02-13 13:10:53] | REVISION_MANUAL | 75 | 0.26 | 13183.85 | Educacion
[2026-02-13 13:10:53] | RECHAZADO | 0 | 0.52 | 12621.68 | Consumo
[2026-02-13 13:10:53] | APROBADO | 100 | 0.13 | 13576.99 | Negocio
[2026-02-13 13:10:53] | APROBADO | 100 | 0.17 | 4297.15 | Negocio
[2026-02-13 13:10:53] | RECHAZADO | 10 | 0.43 | 8520.62 | Vacaciones
[2026-02-13 13:10:53] | APROBADO | 100 | 0.06 | 11154.22 | Educacion
[2026-02-13 13:10:53] | RECHAZADO | 0 | 0.40 | 10384.86 | Vacaciones
[2026-02-13 13:10:53] | RECHAZADO | 55 | 0.26 | 15631.78 | Negocio
[2026-02-13 13:10:53] | APROBADO | 100 | 0.15 | 14386.49 | Negocio
[2026-02-13 13:10:53] | RECHAZADO | 0 | 0.69 | 23338.59 | Consumo
[2026-02-13 13:10:53] | APROBADO | 89 | 0.39 | 9558.12 | Negocio
[2026-02-13 13:10:53] | APROBADO | 100 | 0.15 | 9134.09 | Negocio
[2026-02-13 13:10:53] | RECHAZADO | 0 | 0.42 | 21623.74 | Emergencia
[2026-02-13 13:10:53] | APROBADO | 100 | 0.15 | 5938.11 | Negocio
[2026-02-13 13:10:53] | APROBADO | 96 | 0.26 | 7213.57 | Educacion
[2026-02-13 13:10:53] | RECHAZADO | 50 | 0.37 | 11968.25 | Vacaciones
[2026-02-13 13:10:53] | REVISION_MANUAL | 73 | 0.26 | 11401.11 | Vacaciones
[2026-02-13 13:10:53] | RECHAZADO | 12 | 0.65 | 14100.85 | Emergencia
[2026-02-13 13:10:53] | RECHAZADO | 0 | 0.46 | 15033.61 | Consumo
[2026-02-13 13:10:53] | APROBADO | 80 | 0.25 | 9963.22 | Emergencia
[2026-02-13 13:10:53] | RECHAZADO | 47 | 0.25 | 9479.19 | Consumo
[2026-02-13 13:10:53] | APROBADO | 100 | 0.11 | 8230.03 | Educacion
[2026-02-13 13:10:53] | APROBADO | 100 | 0.17 | 9409.48 | Negocio
[2026-02-13 13:10:53] | RECHAZADO | 16 | 0.36 | 13723.44 | Vacaciones
[2026-02-13 13:10:53] | APROBADO | 100 | 0.16 | 8643.68 | Negocio
[2026-02-13 13:10:53] | RECHAZADO | 0 | 0.44 | 26463.03 | Vacaciones
[2026-02-13 13:10:53] | APROBADO | 91 | 0.32 | 14088.39 | Educacion
[2026-02-13 13:10:53] | RECHAZADO | 0 | 0.68 | 20667.53 | Consumo
[2026-02-13 13:10:53] | RECHAZADO | 0 | 0.43 | 25721.62 | Emergencia
[2026-02-13 13:10:53] | RECHAZADO | 15 | 0.49 | 15507.09 | Emergencia
[2026-02-13 13:10:53] | RECHAZADO | 0 | 0.52 | 24143.5 | Vacaciones
[2026-02-13 13:10:53] | RECHAZADO | 19 | 0.72 | 13904.7 | Emergencia
[2026-02-13 13:10:53] | RECHAZADO | 0 | 0.46 | 22700.15 | Emergencia
[2026-02-13 13:10:53] | APROBADO | 100 | 0.08 | 13563.84 | Educacion
[2026-02-13 13:10:53] | RECHAZADO | 0 | 0.56 | 18748.71 | Consumo
[2026-02-13 13:10:53] | RECHAZADO | 0 | 0.63 | 16896.82 | Vacaciones
[2026-02-13 13:10:53] | APROBADO | 100 | 0.12 | 6969.5 | Negocio
[2026-02-13 13:10:53] | RECHAZADO | 0 | 0.44 | 28919.31 | Emergencia
[2026-02-13 13:10:53] | REVISION_MANUAL | 68 | 0.27 | 10413.22 | Educacion
[2026-02-13 13:10:53] | APROBADO | 100 | 0.09 | 13421.53 | Negocio
[2026-02-13 13:10:53] | APROBADO | 100 | 0.22 | 8787.18 | Negocio
[2026-02-13 13:10:53] | RECHAZADO | 0 | 0.51 | 28880.76 | Emergencia
[2026-02-13 13:10:53] | APROBADO | 100 | 0.16 | 13902.05 | Educacion
[2026-02-13 13:10:53] | APROBADO | 100 | 0.10 | 14371.08 | Negocio
[2026-02-13 13:10:53] | APROBADO | 100 | 0.06 | 3032.11 | Negocio
[2026-02-13 13:10:53] | APROBADO | 100 | 0.16 | 18858.67 | Educacion
[2026-02-13 13:10:53] | RECHAZADO | 0 | 0.67 | 22247.96 | Vacaciones
[2026-02-13 13:10:53] | RECHAZADO | 0 | 0.37 | 23150.92 | Consumo
[2026-02-13 13:10:53] | REVISION_MANUAL | 68 | 0.28 | 14055.7 | Consumo
[2026-02-13 13:10:53] | APROBADO | 100 | 0.18 | 3482.78 | Negocio
[2026-02-13 13:10:53] | RECHAZADO | 0 | 0.53 | 25913.39 | Emergencia
[2026-02-13 13:10:53] | RECHAZADO | 0 | 0.48 | 18900.32 | Emergencia
[2026-02-13 13:10:53] | RECHAZADO | 58 | 0.29 | 6738.82 | Consumo
[2026-02-13 13:10:53] | RECHAZADO | 12 | 0.61 | 15959.15 | Emergencia
[2026-02-13 13:10:53] | RECHAZADO | 0 | 0.37 | 18663.66 | Emergencia
[2026-02-13 13:10:53] | APROBADO | 100 | 0.09 | 7895.89 | Negocio
[2026-02-13 13:10:53] | APROBADO | 100 | 0.12 | 9106.46 | Educacion
[2026-02-13 13:10:53] | APROBADO | 100 | 0.09 | 9098.89 | Negocio
[2026-02-13 13:10:53] | RECHAZADO | 0 | 0.66 | 14222.46 | Vacaciones
[2026-02-13 13:10:53] | APROBADO | 100 | 0.12 | 6989.28 | Educacion
[2026-02-13 13:10:53] | RECHAZADO | 0 | 0.70 | 14999.88 | Vacaciones
[2026-02-13 13:10:53] | APROBADO | 100 | 0.25 | 19480.3 | Vacaciones
[2026-02-13 13:10:53] | APROBADO | 100 | 0.12 | 7919.74 | Negocio
[2026-02-13 13:10:53] | APROBADO | 88 | 0.35 | 17776.48 | Negocio
[2026-02-13 13:10:53] | RECHAZADO | 0 | 0.73 | 21885.54 | Vacaciones
[2026-02-13 13:10:53] | RECHAZADO | 0 | 0.39 | 14588.25 | Emergencia
[2026-02-13 13:11:35] | APROBADO | 100 | 0.06 | 10000.0 | Negocio
[2026-02-13 13:11:35] | RECHAZADO | 0 | 2.00 | 15000.0 | Vacaciones
[2026-02-13 13:11:35] | REVISION_MANUAL | 79 | 0.20 | 8000.0 | Consumo
[2026-02-13 13:11:35] | APROBADO | 100 | 0.30 | 12000.0 | Negocio
[2026-02-13 13:11:35] | RECHAZADO | 100 | 0.70 | 5000.0 | Negocio
[2026-02-13 13:11:35] | REVISION_MANUAL | 63 | 0.12 | 5000.0 | Educacion
[2026-02-13 13:11:35] | APROBADO | 93 | 0.19 | 25000.0 | Negocio
[2026-02-13 13:11:35] | REVISION_MANUAL | 61 | 0.21 | 5476.74 | Emergencia
[2026-02-13 13:11:35] | APROBADO | 100 | 0.05 | 6338.29 | Negocio
[2026-02-13 13:11:35] | RECHAZADO | 0 | 0.63 | 10248.63 | Consumo
[2026-02-13 13:11:35] | APROBADO | 100 | 0.14 | 3945.6 | Educacion
[2026-02-13 13:11:35] | APROBADO | 100 | 0.18 | 10935.16 | Negocio
[2026-02-13 13:11:35] | RECHAZADO | 15 | 0.70 | 11578.39 | Consumo
[2026-02-13 13:11:35] | APROBADO | 100 | 0.19 | 9409.68 | Negocio
[2026-02-13 13:11:35] | APROBADO | 100 | 0.20 | 5748.58 | Negocio
[2026-02-13 13:11:35] | APROBADO | 100 | 0.06 | 7747.58 | Educacion
[2026-02-13 13:11:35] | RECHAZADO | 0 | 0.41 | 12825.06 | Consumo
[2026-02-13 13:11:35] | RECHAZADO | 0 | 0.65 | 21121.0 | Consumo
[2026-02-13 13:11:35] | APROBADO | 100 | 0.13 | 11180.52 | Negocio
[2026-02-13 13:11:35] | APROBADO | 100 | 0.23 | 19307.24 | Negocio
[2026-02-13 13:11:35] | RECHAZADO | 0 | 0.65 | 11362.46 | Vacaciones
[2026-02-13 13:11:35] | RECHAZADO | 0 | 0.72 | 28440.17 | Vacaciones
[2026-02-13 13:11:35] | RECHAZADO | 0 | 0.45 | 25952.51 | Consumo
[2026-02-13 13:11:35] | RECHAZADO | 5 | 0.40 | 17309.03 | Emergencia
[2026-02-13 13:11:35] | APROBADO | 100 | 0.15 | 7481.05 | Negocio
[2026-02-13 13:11:35] | RECHAZADO | 0 | 0.44 | 20945.68 | Vacaciones
[2026-02-13 13:11:35] | APROBADO | 100 | 0.08 | 6341.73 | Negocio
[2026-02-13 13:11:35] | REVISION_MANUAL | 68 | 0.38 | 6414.89 | Educacion
[2026-02-13 13:11:35] | RECHAZADO | 16 | 0.27 | 17008.89 | Consumo
[2026-02-13 13:11:35] | APROBADO | 100 | 0.12 | 13493.83 | Negocio
[2026-02-13 13:11:35] | APROBADO | 100 | 0.13 | 7876.97 | Negocio
[2026-02-13 13:11:35] | RECHAZADO | 48 | 0.19 | 11345.11 | Consumo
[2026-02-13 13:11:35] | RECHAZADO | 2 | 0.61 | 29311.61 | Vacaciones
[2026-02-13 13:11:35] | RECHAZADO | 43 | 0.23 | 6201.67 | Vacaciones
[2026-02-13 13:11:35] | APROBADO | 100 | 0.18 | 10134.23 | Negocio
[2026-02-13 13:11:35] | APROBADO | 82 | 0.29 | 8580.29 | Consumo
[2026-02-13 13:11:35] | APROBADO | 100 | 0.12 | 14953.16 | Negocio
[2026-02-13 13:11:35] | APROBADO | 100 | 0.07 | 4892.96 | Educacion
[2026-02-13 13:11:35] | RECHAZADO | 0 | 0.74 | 10539.43 | Consumo
[2026-02-13 13:11:35] | APROBADO | 100 | 0.09 | 13234.95 | Negocio
[2026-02-13 13:11:35] | APROBADO | 100 | 0.17 | 16566.79 | Consumo
[2026-02-13 13:11:35] | REVISION_MANUAL | 75 | 0.26 | 13183.85 | Educacion
[2026-02-13 13:11:35] | RECHAZADO | 0 | 0.52 | 12621.68 | Consumo
[2026-02-13 13:11:35] | APROBADO | 100 | 0.13 | 13576.99 | Negocio
[2026-02-13 13:11:35] | APROBADO | 100 | 0.17 | 4297.15 | Negocio
[2026-02-13 13:11:35] | RECHAZADO | 10 | 0.43 | 8520.62 | Vacaciones
[2026-02-13 13:11:35] | APROBADO | 100 | 0.06 | 11154.22 | Educacion
[2026-02-13 13:11:35] | RECHAZADO | 0 | 0.40 | 10384.86 | Vacaciones
[2026-02-13 13:11:35] | RECHAZADO | 55 | 0.26 | 15631.78 | Negocio
[2026-02-13 13:11:35] | APROBADO | 100 | 0.15 | 14386.49 | Negocio
[2026-02-13 13:11:35] | RECHAZADO | 0 | 0.69 | 23338.59 | Consumo
[2026-02-13 13:11:35] | APROBADO | 89 | 0.39 | 9558.12 | Negocio
[2026-02-13 13:11:35] | APROBADO | 100 | 0.15 | 9134.09 | Negocio
[2026-02-13 13:11:35] | RECHAZADO | 0 | 0.42 | 21623.74 | Emergencia
[2026-02-13 13:11:35] | APROBADO | 100 | 0.15 | 5938.11 | Negocio
[2026-02-13 13:11:35] | APROBADO | 96 | 0.26 | 7213.57 | Educacion
[2026-02-13 13:11:35] | RECHAZADO | 50 | 0.37 | 11968.25 | Vacaciones
[2026-02-13 13:11:35] | REVISION_MANUAL | 73 | 0.26 | 11401.11 | Vacaciones
[2026-02-13 13:11:35] | RECHAZADO | 12 | 0.65 | 14100.85 | Emergencia
[2026-02-13 13:11:35] | RECHAZADO | 0 | 0.46 | 15033.61 | Consumo
[2026-02-13 13:11:35] | APROBADO | 80 | 0.25 | 9963.22 | Emergencia
[2026-02-13 13:11:35] | RECHAZADO | 47 | 0.25 | 9479.19 | Consumo
[2026-02-13 13:11:35] | APROBADO | 100 | 0.11 | 8230.03 | Educacion
[2026-02-13 13:11:35] | APROBADO | 100 | 0.17 | 9409.48 | Negocio
[2026-02-13 13:11:35] | RECHAZADO | 16 | 0.36 | 13723.44 | Vacaciones
[2026-02-13 13:11:35] | APROBADO | 100 | 0.16 | 8643.68 | Negocio
[2026-02-13 13:11:35] | RECHAZADO | 0 | 0.44 | 26463.03 | Vacaciones
[2026-02-13 13:11:35] | APROBADO | 91 | 0.32 | 14088.39 | Educacion
[2026-02-13 13:11:35] | RECHAZADO | 0 | 0.68 | 20667.53 | Consumo
[2026-02-13 13:11:35] | RECHAZADO | 0 | 0.43 | 25721.62 | Emergencia
[2026-02-13 13:11:35] | RECHAZADO | 15 | 0.49 | 15507.09 | Emergencia
[2026-02-13 13:11:35] | RECHAZADO | 0 | 0.52 | 24143.5 | Vacaciones
[2026-02-13 13:11:35] | RECHAZADO | 19 | 0.72 | 13904.7 | Emergencia
[2026-02-13 13:11:35] | RECHAZADO | 0 | 0.46 | 22700.15 | Emergencia
[2026-02-13 13:11:35] | APROBADO | 100 | 0.08 | 13563.84 | Educacion
[2026-02-13 13:11:35] | RECHAZADO | 0 | 0.56 | 18748.71 | Consumo
[2026-02-13 13:11:35] | RECHAZADO | 0 | 0.63 | 16896.82 | Vacaciones
[2026-02-13 13:11:35] | APROBADO | 100 | 0.12 | 6969.5 | Negocio
[2026-02-13 13:11:35] | RECHAZADO | 0 | 0.44 | 28919.31 | Emergencia
[2026-02-13 13:11:35] | REVISION_MANUAL | 68 | 0.27 | 10413.22 | Educacion
[2026-02-13 13:11:35] | APROBADO | 100 | 0.09 | 13421.53 | Negocio
[2026-02-13 13:11:35] | APROBADO | 100 | 0.22 | 8787.18 | Negocio
[2026-02-13 13:11:35] | RECHAZADO | 0 | 0.51 | 28880.76 | Emergencia
[2026-02-13 13:11:35] | APROBADO | 100 | 0.16 | 13902.05 | Educacion
[2026-02-13 13:11:35] | APROBADO | 100 | 0.10 | 14371.08 | Negocio
[2026-02-13 13:11:35] | APROBADO | 100 | 0.06 | 3032.11 | Negocio
[2026-02-13 13:11:35] | APROBADO | 100 | 0.16 | 18858.67 | Educacion
[2026-02-13 13:11:35] | RECHAZADO | 0 | 0.67 | 22247.96 | Vacaciones
[2026-02-13 13:11:35] | RECHAZADO | 0 | 0.37 | 23150.92 | Consumo
[2026-02-13 13:11:35] | REVISION_MANUAL | 68 | 0.28 | 14055.7 | Consumo
[2026-02-13 13:11:35] | APROBADO | 100 | 0.18 | 3482.78 | Negocio
[2026-02-13 13:11:35] | RECHAZADO | 0 | 0.53 | 25913.39 | Emergencia
[2026-02-13 13:11:35] | RECHAZADO | 0 | 0.48 | 18900.32 | Emergencia
[2026-02-13 13:11:35] | RECHAZADO | 58 | 0.29 | 6738.82 | Consumo
[2026-02-13 13:11:35] | RECHAZADO | 12 | 0.61 | 15959.15 | Emergencia
[2026-02-13 13:11:35] | RECHAZADO | 0 | 0.37 | 18663.66 | Emergencia
[2026-02-13 13:11:35] | APROBADO | 100 | 0.09 | 7895.89 | Negocio
[2026-02-13 13:11:35] | APROBADO | 100 | 0.12 | 9106.46 | Educacion
[2026-02-13 13:11:35] | APROBADO | 100 | 0.09 | 9098.89 | Negocio
[2026-02-13 13:11:35] | RECHAZADO | 0 | 0.66 | 14222.46 | Vacaciones
[2026-02-13 13:11:35] | APROBADO | 100 | 0.12 | 6989.28 | Educacion
[2026-02-13 13:11:35] | RECHAZADO | 0 | 0.70 | 14999.88 | Vacaciones
[2026-02-13 13:11:35] | APROBADO | 100 | 0.25 | 19480.3 | Vacaciones
[2026-02-13 13:11:35] | APROBADO | 100 | 0.12 | 7919.74 | Negocio
[2026-02-13 13:11:35] | APROBADO | 88 | 0.35 | 17776.48 | Negocio
[2026-02-13 13:11:35] | RECHAZADO | 0 | 0.73 | 21885.54 | Vacaciones
[2026-02-13 13:11:35] | RECHAZADO | 0 | 0.39 | 14588.25 | Emergencia
[2026-02-13 13:12:08] | RECHAZADO | 55 | 0.36 | 25000.0 | Consumo
[2026-02-13 13:12:19] | RECHAZADO | 61 | 0.25 | 25000.0 | Consumo
[2026-02-13 13:12:19] | RECHAZADO | 61 | 0.28 | 22000.0 | Consumo
[2026-02-13 13:12:19] | REVISION_MANUAL | 72 | 0.30 | 25000.0 | Negocio
[2026-02-13 13:12:36] | APROBADO | 100 | 0.06 | 10000.0 | Negocio
[2026-02-13 13:12:36] | RECHAZADO | 0 | 2.00 | 15000.0 | Vacaciones
[2026-02-13 13:12:36] | REVISION_MANUAL | 79 | 0.20 | 8000.0 | Consumo
[2026-02-13 13:12:36] | APROBADO | 100 | 0.30 | 12000.0 | Negocio
[2026-02-13 13:12:36] | RECHAZADO | 100 | 0.70 | 5000.0 | Negocio
[2026-02-13 13:12:36] | REVISION_MANUAL | 63 | 0.12 | 5000.0 | Educacion
[2026-02-13 13:12:36] | REVISION_MANUAL | 72 | 0.30 | 25000.0 | Negocio
[2026-02-13 13:12:36] | REVISION_MANUAL | 61 | 0.21 | 5476.74 | Emergencia
[2026-02-13 13:12:36] | APROBADO | 100 | 0.05 | 6338.29 | Negocio
[2026-02-13 13:12:36] | RECHAZADO | 0 | 0.63 | 10248.63 | Consumo
[2026-02-13 13:12:36] | APROBADO | 100 | 0.14 | 3945.6 | Educacion
[2026-02-13 13:12:36] | APROBADO | 100 | 0.18 | 10935.16 | Negocio
[2026-02-13 13:12:36] | RECHAZADO | 15 | 0.70 | 11578.39 | Consumo
[2026-02-13 13:12:36] | APROBADO | 100 | 0.19 | 9409.68 | Negocio
[2026-02-13 13:12:36] | APROBADO | 100 | 0.20 | 5748.58 | Negocio
[2026-02-13 13:12:36] | APROBADO | 100 | 0.06 | 7747.58 | Educacion
[2026-02-13 13:12:36] | RECHAZADO | 0 | 0.41 | 12825.06 | Consumo
[2026-02-13 13:12:36] | RECHAZADO | 0 | 0.65 | 21121.0 | Consumo
[2026-02-13 13:12:36] | APROBADO | 100 | 0.13 | 11180.52 | Negocio
[2026-02-13 13:12:36] | APROBADO | 100 | 0.23 | 19307.24 | Negocio
[2026-02-13 13:12:36] | RECHAZADO | 0 | 0.65 | 11362.46 | Vacaciones
[2026-02-13 13:12:36] | RECHAZADO | 0 | 0.72 | 28440.17 | Vacaciones
[2026-02-13 13:12:36] | RECHAZADO | 0 | 0.45 | 25952.51 | Consumo
[2026-02-13 13:12:36] | RECHAZADO | 5 | 0.40 | 17309.03 | Emergencia
[2026-02-13 13:12:36] | APROBADO | 100 | 0.15 | 7481.05 | Negocio
[2026-02-13 13:12:36] | RECHAZADO | 0 | 0.44 | 20945.68 | Vacaciones
[2026-02-13 13:12:36] | APROBADO | 100 | 0.08 | 6341.73 | Negocio
[2026-02-13 13:12:36] | REVISION_MANUAL | 68 | 0.38 | 6414.89 | Educacion
[2026-02-13 13:12:36] | RECHAZADO | 16 | 0.27 | 17008.89 | Consumo
[2026-02-13 13:12:36] | APROBADO | 100 | 0.12 | 13493.83 | Negocio
[2026-02-13 13:12:36] | APROBADO | 100 | 0.13 | 7876.97 | Negocio
[2026-02-13 13:12:36] | RECHAZADO | 48 | 0.19 | 11345.11 | Consumo
[2026-02-13 13:12:36] | RECHAZADO | 2 | 0.61 | 29311.61 | Vacaciones
[2026-02-13 13:12:36] | RECHAZADO | 43 | 0.23 | 6201.67 | Vacaciones
[2026-02-13 13:12:36] | APROBADO | 100 | 0.18 | 10134.23 | Negocio
[2026-02-13 13:12:36] | APROBADO | 82 | 0.29 | 8580.29 | Consumo
[2026-02-13 13:12:36] | APROBADO | 100 | 0.12 | 14953.16 | Negocio
[2026-02-13 13:12:36] | APROBADO | 100 | 0.07 | 4892.96 | Educacion
[2026-02-13 13:12:36] | RECHAZADO | 0 | 0.74 | 10539.43 | Consumo
[2026-02-13 13:12:36] | APROBADO | 100 | 0.09 | 13234.95 | Negocio
[2026-02-13 13:12:36] | APROBADO | 100 | 0.17 | 16566.79 | Consumo
[2026-02-13 13:12:36] | REVISION_MANUAL | 75 | 0.26 | 13183.85 | Educacion
[2026-02-13 13:12:36] | RECHAZADO | 0 | 0.52 | 12621.68 | Consumo
[2026-02-13 13:12:36] | APROBADO | 100 | 0.13 | 13576.99 | Negocio
[2026-02-13 13:12:36] | APROBADO | 100 | 0.17 | 4297.15 | Negocio
[2026-02-13 13:12:36] | RECHAZADO | 10 | 0.43 | 8520.62 | Vacaciones
[2026-02-13 13:12:36] | APROBADO | 100 | 0.06 | 11154.22 | Educacion
[2026-02-13 13:12:36] | RECHAZADO | 0 | 0.40 | 10384.86 | Vacaciones
[2026-02-13 13:12:36] | RECHAZADO | 55 | 0.26 | 15631.78 | Negocio
[2026-02-13 13:12:36] | APROBADO | 100 | 0.15 | 14386.49 | Negocio
[2026-02-13 13:12:36] | RECHAZADO | 0 | 0.69 | 23338.59 | Consumo
[2026-02-13 13:12:36] | APROBADO | 89 | 0.39 | 9558.12 | Negocio
[2026-02-13 13:12:36] | APROBADO | 100 | 0.15 | 9134.09 | Negocio
[2026-02-13 13:12:36] | RECHAZADO | 0 | 0.42 | 21623.74 | Emergencia
[2026-02-13 13:12:36] | APROBADO | 100 | 0.15 | 5938.11 | Negocio
[2026-02-13 13:12:36] | APROBADO | 96 | 0.26 | 7213.57 | Educacion
[2026-02-13 13:12:36] | RECHAZADO | 50 | 0.37 | 11968.25 | Vacaciones
[2026-02-13 13:12:36] | REVISION_MANUAL | 73 | 0.26 | 11401.11 | Vacaciones
[2026-02-13 13:12:36] | RECHAZADO | 12 | 0.65 | 14100.85 | Emergencia
[2026-02-13 13:12:36] | RECHAZADO | 0 | 0.46 | 15033.61 | Consumo
[2026-02-13 13:12:36] | APROBADO | 80 | 0.25 | 9963.22 | Emergencia
[2026-02-13 13:12:36] | RECHAZADO | 47 | 0.25 | 9479.19 | Consumo
[2026-02-13 13:12:36] | APROBADO | 100 | 0.11 | 8230.03 | Educacion
[2026-02-13 13:12:36] | APROBADO | 100 | 0.17 | 9409.48 | Negocio
[2026-02-13 13:12:36] | RECHAZADO | 16 | 0.36 | 13723.44 | Vacaciones
[2026-02-13 13:12:36] | APROBADO | 100 | 0.16 | 8643.68 | Negocio
[2026-02-13 13:12:36] | RECHAZADO | 0 | 0.44 | 26463.03 | Vacaciones
[2026-02-13 13:12:36] | APROBADO | 91 | 0.32 | 14088.39 | Educacion
[2026-02-13 13:12:36] | RECHAZADO | 0 | 0.68 | 20667.53 | Consumo
[2026-02-13 13:12:36] | RECHAZADO | 0 | 0.43 | 25721.62 | Emergencia
[2026-02-13 13:12:36] | RECHAZADO | 15 | 0.49 | 15507.09 | Emergencia
[2026-02-13 13:12:36] | RECHAZADO | 0 | 0.52 | 24143.5 | Vacaciones
[2026-02-13 13:12:36] | RECHAZADO | 19 | 0.72 | 13904.7 | Emergencia
