"LLAVESDE","LLAVEVIV","LLAVEHOG","PAREN","SEXO","EDAD","NIV","GRA","FOLIO","VIV_SEL","HOGAR","N_REN","TLOC","REGION","EST_DIS","UPM_DIS","FAC_HOG"
"0001704103","0001704","00017041","3","2","13","","","00017","04","1","03","1","2","030","00358",1424
"0001704104","0001704","00017041","3","2","03","","","00017","04","1","04","1","2","030","00358",1424
"0001816101","0001816","00018161","1","1","50","02","6","00018","16","1","01","4","5","070","00933",2426
"0001816102","0001816","00018161","2","2","53","","","00018","16","1","02","4","5","070","00933",2426
"0001904101","0001904","00019041","1","1","60","03","3","00019","04","1","01","1","1","044","00508",2710
"0001904102","0001904","00019041","2","2","57","","","00019","04","1","02","1","1","044","00508",2710
"0001904103","0001904","00019041","3","1","22","","","00019","04","1","03","1","1","044","00508",2710
"0001904104","0001904","00019041","5","2","70","","","00019","04","1","04","1","1","044","00508",2710
"0001904105","0001904","00019041","3","2","32","","","00019","04","1","05","1","1","044","00508",2710
"0002008101","0002008","00020081","1","1","45","02","5","00020","08","1","01","4","2","160","01848",1343
"0002105101","0002105","00021051","1","1","46","06","3","00021","05","1","01","1","5","087","01095",11960
"0002105102","0002105","00021051","2","2","42","","","00021","05","1","02","1","5","087","01095",11960
"0002105103","0002105","00021051","3","1","99","","","00021","05","1","03","1","5","087","01095",11960
"0002105104","0002105","00021051","3","1","99","","","00021","05","1","04","1","5","087","01095",11960
"0002205101","0002205","00022051","1","2","43","06","3","00022","05","1","01","1","3","059","00861",5503
"0002205102","0002205","00022051","3","1","26","","","00022","05","1","02","1","3","059","00861",5503
"0002205103","0002205","00022051","3","2","23","","","00022","05","1","03","1","3","059","00861",5503
"0002318101","0002318","00023181","1","1","50","02","6","00023","18","1","01","3","3","088","01108",4784
"0002413101","0002413","00024131","1","2","47","06","3","00024","13","1","01","4","1","008","00063",1922
"0002413102","0002413","00024131","3","1","27","","","00024","13","1","02","4","1","008","00063",1922
"0002502101","0002502","00025021","1","1","64","08","5","00025","02","1","01","1","4","050","00735",2939
"0002502102","0002502","00025021","2","2","63","","","00025","02","1","02","1","4","050","00735",2939
"0002601101","0002601","00026011","1","2","60","02","6","00026","01","1","01","3","3","186","02143",1518
"0002601102","0002601","00026011","3","2","19","","","00026","01","1","02","3","3","186","02143",1518
"0002601201","0002601","00026012","1","2","26","08","4","00026","01","2","01","3","3","186","02143",1518
"0002601202","0002601","00026012","3","2","04","","","00026","01","2","02","3","3","186","02143",1518
"0002701101","0002701","00027011","1","2","50","08","4","00027","01","1","01","1","2","164","01953",2054
"0002805101","0002805","00028051","1","2","53","06","3","00028","05","1","01","2","3","056","00829",19751
"0002805102","0002805","00028051","5","1","56","","","00028","05","1","02","2","3","056","00829",19751
"0002805103","0002805","00028051","3","2","24","","","00028","05","1","03","2","3","056","00829",19751
"0002805104","0002805","00028051","3","2","19","","","00028","05","1","04","2","3","056","00829",19751
"0002920101","0002920","00029201","1","1","39","06","3","00029","20","1","01","2","6","153","01812",2385
"0002920102","0002920","00029201","2","2","38","","","00029","20","1","02","2","6","153","01812",2385
"0002920103","0002920","00029201","5","2","82","","","00029","20","1","03","2","6","153","01812",2385
"0002920104","0002920","00029201","3","1","17","","","00029","20","1","04","2","6","153","01812",2385
"0002920105","0002920","00029201","3","2","08","","","00029","20","1","05","2","6","153","01812",2385
"0002920106","0002920","00029201","3","1","05","","","00029","20","1","06","2","6","153","01812",2385
"0003001101","0003001","00030011","1","2","76","05","3","00030","01","1","01","1","4","050","00736",2891
"0003001102","0003001","00030011","5","2","99","","","00030","01","1","02","1","4","050","00736",2891
"0003001103","0003001","00030011","5","2","85","","","00030","01","1","03","1","4","050","00736",2891
"0003001104","0003001","00030011","5","2","80","","","00030","01","1","04","1","4","050","00736",2891
"0003001105","0003001","00030011","5","1","79","","","00030","01","1","05","1","4","050","00736",2891
"0003102101","0003102","00031021","1","1","76","02","6","00031","02","1","01","1","5","120","01419",6156
"0003102102","0003102","00031021","3","1","50","","","00031","02","1","02","1","5","120","01419",6156
"0003102103","0003102","00031021","5","2","42","","","00031","02","1","03","1","5","120","01419",6156
"0003102104","0003102","00031021","4","1","20","","","00031","02","1","04","1","5","120","01419",6156
"0003102105","0003102","00031021","5","2","21","","","00031","02","1","05","1","5","120","01419",6156
"0003102106","0003102","00031021","5","1","02","","","00031","02","1","06","1","5","120","01419",6156
"0003102107","0003102","00031021","5","1","01","","","00031","02","1","07","1","5","120","01419",6156
"0003209101","0003209","00032091","1","1","71","02","3","00032","09","1","01","4","3","089","01113",3095
"0003209102","0003209","00032091","2","2","67","","","00032","09","1","02","4","3","089","01113",3095
"0003316101","0003316","00033161","1","2","32","03","3","00033","16","1","01","3","6","153","01811",2396
"0003316102","0003316","00033161","2","1","36","","","00033","16","1","02","3","6","153","01811",2396
"0003316103","0003316","00033161","3","1","12","","","00033","16","1","03","3","6","153","01811",2396
"0003316104","0003316","00033161","3","1","10","","","00033","16","1","04","3","6","153","01811",2396
"0003403101","0003403","00034031","1","1","54","06","3","00034","03","1","01","1","2","030","00356",1435
"0003403102","0003403","00034031","2","2","50","","","00034","03","1","02","1","2","030","00356",1435
"0003403103","0003403","00034031","3","2","25","","","00034","03","1","03","1","2","030","00356",1435
"0003403104","0003403","00034031","4","2","10","","","00034","03","1","04","1","2","030","00356",1435
"0003504101","0003504","00035041","1","1","76","03","3","00035","04","1","01","1","1","151","01773",2173
"0003504102","0003504","00035041","3","2","45","","","00035","04","1","02","1","1","151","01773",2173
"0003504103","0003504","00035041","5","1","45","","","00035","04","1","03","1","1","151","01773",2173
"0003504104","0003504","00035041","4","2","18","","","00035","04","1","04","1","1","151","01773",2173
"0003504105","0003504","00035041","4","1","14","","","00035","04","1","05","1","1","151","01773",2173
"0003504106","0003504","00035041","4","2","22","","","00035","04","1","06","1","1","151","01773",2173
"0003603101","0003603","00036031","1","1","22","08","4","00036","03","1","01","1","3","127","01494",1700
"0003704101","0003704","00037041","1","1","36","03","3","00037","04","1","01","1","1","011","00137",2455
"0003704102","0003704","00037041","2","2","32","","","00037","04","1","02","1","1","011","00137",2455
"0003704103","0003704","00037041","3","1","07","","","00037","04","1","03","1","1","011","00137",2455
"0003704104","0003704","00037041","3","1","04","","","00037","04","1","04","1","1","011","00137",2455
"0003704105","0003704","00037041","3","2","02","","","00037","04","1","05","1","1","011","00137",2455
"0003804101","0003804","00038041","1","2","39","06","3","00038","04","1","01","1","2","164","01958",1911
"0003804102","0003804","00038041","3","2","15","","","00038","04","1","02","1","2","164","01958",1911
"0003804103","0003804","00038041","3","1","14","","","00038","04","1","03","1","2","164","01958",1911
"0003903101","0003903","00039031","1","1","42","03","3","00039","03","1","01","1","4","049","00612",4271
"0003903102","0003903","00039031","2","2","38","","","00039","03","1","02","1","4","049","00612",4271
"0003903103","0003903","00039031","3","2","17","","","00039","03","1","03","1","4","049","00612",4271
"0004014101","0004014","00040141","1","1","73","00","0","00040","14","1","01","4","6","063","00888",2579
"0004014102","0004014","00040141","2","2","72","","","00040","14","1","02","4","6","063","00888",2579
"0004102101","0004102","00041021","1","1","24","03","3","00041","02","1","01","4","5","071","00934",2679
"0004102102","0004102","00041021","2","2","25","","","00041","02","1","02","4","5","071","00934",2679
"0004102103","0004102","00041021","3","2","06","","","00041","02","1","03","4","5","071","00934",2679
"0004215101","0004215","00042151","1","2","55","05","3","00042","15","1","01","2","5","116","01407",6595
"0004215102","0004215","00042151","3","1","25","","","00042","15","1","02","2","5","116","01407",6595
"0004215103","0004215","00042151","5","2","25","","","00042","15","1","03","2","5","116","01407",6595
"0004215104","0004215","00042151","3","2","19","","","00042","15","1","04","2","5","116","01407",6595
"0004215105","0004215","00042151","4","1","04","","","00042","15","1","05","2","5","116","01407",6595
"0004315101","0004315","00043151","1","1","58","03","3","00043","15","1","01","4","1","043","00482",3070
"0004315102","0004315","00043151","3","2","26","","","00043","15","1","02","4","1","043","00482",3070
"0004315103","0004315","00043151","2","2","52","","","00043","15","1","03","4","1","043","00482",3070
"0004405101","0004405","00044051","1","2","63","00","0","00044","05","1","01","3","5","085","01027",15661
"0004511101","0004511","00045111","1","2","78","03","3","00045","11","1","01","4","6","155","01821",1493
"0004511102","0004511","00045111","3","2","49","","","00045","11","1","02","4","6","155","01821",1493
"0004604101","0004604","00046041","1","1","59","06","3","00046","04","1","01","1","6","065","00900",2939
"0004604102","0004604","00046041","2","2","56","","","00046","04","1","02","1","6","065","00900",2939
"0004705101","0004705","00047051","1","2","52","03","3","00047","05","1","01","3","5","169","01986",1167
"0004705102","0004705","00047051","2","1","48","","","00047","05","1","02","3","5","169","01986",1167
"0004705103","0004705","00047051","3","2","21","","","00047","05","1","03","3","5","169","01986",1167
"0004815101","0004815","00048151","1","2","85","00","0","00048","15","1","01","4","6","063","00887",2678
"0004901101","0004901","00049011","1","2","58","05","3","00049","01","1","01","1","4","049","00670",2177
"0004901102","0004901","00049011","3","2","36","","","00049","01","1","02","1","4","049","00670",2177
"0004901103","0004901","00049011","3","1","35","","","00049","01","1","03","1","4","049","00670",2177
"0004901104","0004901","00049011","3","2","30","","","00049","01","1","04","1","4","049","00670",2177
"0004901105","0004901","00049011","4","1","10","","","00049","01","1","05","1","4","049","00670",2177
"0004901106","0004901","00049011","4","1","08","","","00049","01","1","06","1","4","049","00670",2177
"0004901107","0004901","00049011","4","2","04","","","00049","01","1","07","1","4","049","00670",2177
"0005004101","0005004","00050041","1","1","42","06","3","00050","04","1","01","1","6","132","01555",1256
"0005004102","0005004","00050041","2","2","40","","","00050","04","1","02","1","6","132","01555",1256
"0005101101","0005101","00051011","1","1","69","00","0","00051","01","1","01","4","5","070","00931",3702
"0005101102","0005101","00051011","2","2","67","","","00051","01","1","02","4","5","070","00931",3702
"0005205101","0005205","00052051","1","1","33","06","3","00052","05","1","01","1","2","029","00290",1734
"0005205102","0005205","00052051","2","2","34","","","00052","05","1","02","1","2","029","00290",1734
"0005205103","0005205","00052051","3","1","11","","","00052","05","1","03","1","2","029","00290",1734
"0005205104","0005205","00052051","3","2","04","","","00052","05","1","04","1","2","029","00290",1734
"0005305101","0005305","00053051","1","2","45","08","5","00053","05","1","01","1","5","098","01199",1137
"0005305102","0005305","00053051","3","1","16","","","00053","05","1","02","1","5","098","01199",1137
"0005305103","0005305","00053051","3","2","14","","","00053","05","1","03","1","5","098","01199",1137
"0005410101","0005410","00054101","1","1","66","03","3","00054","10","1","01","2","3","186","02142",1673
"0005410102","0005410","00054101","2","2","53","","","00054","10","1","02","2","3","186","02142",1673
"0005410103","0005410","00054101","3","2","14","","","00054","10","1","03","2","3","186","02142",1673
"0005410104","0005410","00054101","3","1","13","","","00054","10","1","04","2","3","186","02142",1673
"0005519101","0005519","00055191","1","1","84","02","2","00055","19","1","01","3","2","105","01255",1919
"0005519102","0005519","00055191","2","2","70","","","00055","19","1","02","3","2","105","01255",1919
"0005606101","0005606","00056061","1","1","59","02","6","00056","06","1","01","4","5","167","01976",500
"0005606102","0005606","00056061","2","2","56","","","00056","06","1","02","4","5","167","01976",500
"0005704101","0005704","00057041","1","1","48","08","3","00057","04","1","01","1","4","050","00750",2094
"0005704102","0005704","00057041","3","1","19","","","00057","04","1","02","1","4","050","00750",2094
"0005704103","0005704","00057041","2","2","41","","","00057","04","1","03","1","4","050","00750",2094
"0005805101","0005805","00058051","1","1","37","10","2","00058","05","1","01","1","1","011","00134",2795
"0005909101","0005909","00059091","1","1","62","06","3","00059","09","1","01","4","5","173","02043",4521
"0005909102","0005909","00059091","2","2","40","","","00059","09","1","02","4","5","173","02043",4521
"0005909103","0005909","00059091","3","2","16","","","00059","09","1","03","4","5","173","02043",4521
"0005909104","0005909","00059091","3","2","12","","","00059","09","1","04","4","5","173","02043",4521
"0005909105","0005909","00059091","3","2","07","","","00059","09","1","05","4","5","173","02043",4521
"0006004101","0006004","00060041","1","2","43","03","3","00060","04","1","01","1","1","152","01801",2119
"0006004102","0006004","00060041","2","1","44","","","00060","04","1","02","1","1","152","01801",2119
"0006004103","0006004","00060041","3","1","23","","","00060","04","1","03","1","1","152","01801",2119
"0006004104","0006004","00060041","3","1","13","","","00060","04","1","04","1","1","152","01801",2119
"0006103101","0006103","00061031","1","1","45","06","3","00061","03","1","01","1","3","059","00863",5357
"0006103102","0006103","00061031","2","2","47","","","00061","03","1","02","1","3","059","00863",5357
"0006214101","0006214","00062141","1","1","61","02","6","00062","14","1","01","2","6","062","00879",3249
"0006316101","0006316","00063161","1","1","35","06","3","00063","16","1","01","4","2","137","01597",1065
"0006316102","0006316","00063161","2","2","34","","","00063","16","1","02","4","2","137","01597",1065
"0006316103","0006316","00063161","3","2","15","","","00063","16","1","03","4","2","137","01597",1065
"0006316104","0006316","00063161","3","2","05","","","00063","16","1","04","4","2","137","01597",1065
"0006316105","0006316","00063161","3","2","03","","","00063","16","1","05","4","2","137","01597",1065
"0006403101","0006403","00064031","1","2","51","10","2","00064","03","1","01","1","1","054","00811",1294
"0006403102","0006403","00064031","3","2","22","","","00064","03","1","02","1","1","054","00811",1294
"0006403103","0006403","00064031","3","1","23","","","00064","03","1","03","1","1","054","00811",1294
"0006519101","0006519","00065191","1","1","53","02","5","00065","19","1","01","3","1","051","00765",1494
"0006519102","0006519","00065191","2","2","49","","","00065","19","1","02","3","1","051","00765",1494
"0006519103","0006519","00065191","3","2","17","","","00065","19","1","03","3","1","051","00765",1494
"0006614101","0006614","00066141","1","1","68","02","1","00066","14","1","01","4","3","187","02146",1688
"0006614102","0006614","00066141","2","2","67","","","00066","14","1","02","4","3","187","02146",1688
"0006614103","0006614","00066141","3","1","31","","","00066","14","1","03","4","3","187","02146",1688
"0006614104","0006614","00066141","6","2","30","","","00066","14","1","04","4","3","187","02146",1688
"0006614105","0006614","00066141","4","1","05","","","00066","14","1","05","4","3","187","02146",1688
"0006705101","0006705","00067051","1","1","72","03","2","00067","05","1","01","1","6","023","00250",380
"0006804101","0006804","00068041","1","1","37","06","3","00068","04","1","01","1","4","049","00607",4573
"0006804102","0006804","00068041","5","2","71","","","00068","04","1","02","1","4","049","00607",4573
"0006804103","0006804","00068041","3","1","02","","","00068","04","1","03","1","4","049","00607",4573
"0006903101","0006903","00069031","1","2","38","03","3","00069","03","1","01","3","3","100","01214",1363
"0006903102","0006903","00069031","3","1","17","","","00069","03","1","02","3","3","100","01214",1363
"0006903103","0006903","00069031","3","2","16","","","00069","03","1","03","3","3","100","01214",1363
"0006903104","0006903","00069031","3","2","09","","","00069","03","1","04","3","3","100","01214",1363
"0007003101","0007003","00070031","1","2","64","00","0","00070","03","1","01","1","3","005","00039",1139
"0007003102","0007003","00070031","3","2","35","","","00070","03","1","02","1","3","005","00039",1139
"0007003103","0007003","00070031","3","1","32","","","00070","03","1","03","1","3","005","00039",1139
"0007003104","0007003","00070031","4","1","05","","","00070","03","1","04","1","3","005","00039",1139
"0007103101","0007103","00071031","1","1","38","03","3","00071","03","1","01","4","1","143","01683",811
"0007103102","0007103","00071031","2","2","39","","","00071","03","1","02","4","1","143","01683",811
"0007103103","0007103","00071031","3","1","17","","","00071","03","1","03","4","1","143","01683",811
"0007103104","0007103","00071031","3","1","11","","","00071","03","1","04","4","1","143","01683",811
"0007103105","0007103","00071031","3","1","07","","","00071","03","1","05","4","1","143","01683",811
"0007215101","0007215","00072151","1","1","56","05","3","00072","15","1","01","2","3","186","02142",1673
"0007215102","0007215","00072151","2","2","49","","","00072","15","1","02","2","3","186","02142",1673
"0007215103","0007215","00072151","3","1","25","","","00072","15","1","03","2","3","186","02142",1673
"0007302101","0007302","00073021","1","2","64","07","3","00073","02","1","01","1","1","011","00139",2151
"0007402101","0007402","00074021","1","1","67","08","5","00074","02","1","01","1","5","085","01044",11976
"0007402102","0007402","00074021","2","2","60","","","00074","02","1","02","1","5","085","01044",11976
"0007402103","0007402","00074021","3","1","39","","","00074","02","1","03","1","5","085","01044",11976
"0007402104","0007402","00074021","3","2","31","","","00074","02","1","04","1","5","085","01044",11976
"0007501101","0007501","00075011","1","2","80","02","4","00075","01","1","01","1","5","120","01427",4872
"0007501102","0007501","00075011","4","2","31","","","00075","01","1","02","1","5","120","01427",4872
"0007501103","0007501","00075011","5","1","07","","","00075","01","1","03","1","5","120","01427",4872
"0007615101","0007615","00076151","1","1","54","00","0","00076","15","1","01","4","1","043","00484",2372
"0007615102","0007615","00076151","2","2","63","","","00076","15","1","02","4","1","043","00484",2372
"0007718101","0007718","00077181","1","1","55","02","6","00077","18","1","01","3","6","037","00443",3934
"0007718102","0007718","00077181","2","2","50","","","00077","18","1","02","3","6","037","00443",3934
"0007718103","0007718","00077181","5","2","27","","","00077","18","1","03","3","6","037","00443",3934
"0007718104","0007718","00077181","4","2","10","","","00077","18","1","04","3","6","037","00443",3934
"0007718105","0007718","00077181","4","1","07","","","00077","18","1","05","3","6","037","00443",3934
"0007718106","0007718","00077181","3","2","27","","","00077","18","1","06","3","6","037","00443",3934
"0007718107","0007718","00077181","3","2","22","","","00077","18","1","07","3","6","037","00443",3934
"0007718108","0007718","00077181","4","2","06","","","00077","18","1","08","3","6","037","00443",3934
"0007803101","0007803","00078031","1","1","45","08","5","00078","03","1","01","1","3","190","02171",1808
"0007803102","0007803","00078031","2","2","43","","","00078","03","1","02","1","3","190","02171",1808
"0007803103","0007803","00078031","3","1","12","","","00078","03","1","03","1","3","190","02171",1808
"0007803104","0007803","00078031","3","1","06","","","00078","03","1","04","1","3","190","02171",1808
"0007912101","0007912","00079121","1","2","40","06","3","00079","12","1","01","3","6","109","01374",2508
"0007912102","0007912","00079121","3","2","17","","","00079","12","1","02","3","6","109","01374",2508
"0007912103","0007912","00079121","3","2","14","","","00079","12","1","03","3","6","109","01374",2508
"0008009101","0008009","00080091","1","1","54","00","0","00080","09","1","01","4","5","173","02040",4785
"0008009102","0008009","00080091","2","2","46","","","00080","09","1","02","4","5","173","02040",4785
"0008009103","0008009","00080091","3","2","16","","","00080","09","1","03","4","5","173","02040",4785
"0008009104","0008009","00080091","3","2","12","","","00080","09","1","04","4","5","173","02040",4785
"0008009105","0008009","00080091","3","2","11","","","00080","09","1","05","4","5","173","02040",4785
"0008111101","0008111","00081111","1","2","32","06","3","00081","11","1","01","4","6","039","00454",3356
"0008111102","0008111","00081111","2","1","35","","","00081","11","1","02","4","6","039","00454",3356
"0008111103","0008111","00081111","3","2","05","","","00081","11","1","03","4","6","039","00454",3356
"0008203101","0008203","00082031","1","2","50","03","3","00082","03","1","01","1","1","010","00096",3718
"0008203102","0008203","00082031","2","1","56","","","00082","03","1","02","1","1","010","00096",3718
"0008203103","0008203","00082031","3","1","32","","","00082","03","1","03","1","1","010","00096",3718
"0008301101","0008301","00083011","1","2","33","08","4","00083","01","1","01","1","4","049","00649",3262
"0008301102","0008301","00083011","3","1","03","","","00083","01","1","02","1","4","049","00649",3262
"0008402101","0008402","00084021","1","1","37","08","4","00084","02","1","01","1","4","050","00682",3886
"0008402102","0008402","00084021","2","2","36","","","00084","02","1","02","1","4","050","00682",3886
"0008402103","0008402","00084021","3","2","02","","","00084","02","1","03","1","4","050","00682",3886
"0008520101","0008520","00085201","1","2","55","06","2","00085","20","1","01","4","1","143","01678",2442
"0008520102","0008520","00085201","3","1","35","","","00085","20","1","02","4","1","143","01678",2442
"0008520103","0008520","00085201","3","1","34","","","00085","20","1","03","4","1","143","01678",2442
"0008520104","0008520","00085201","3","1","27","","","00085","20","1","04","4","1","143","01678",2442
"0008520105","0008520","00085201","6","2","27","","","00085","20","1","05","4","1","143","01678",2442
"0008520106","0008520","00085201","4","2","11","","","00085","20","1","06","4","1","143","01678",2442
"0008520107","0008520","00085201","4","2","07","","","00085","20","1","07","4","1","143","01678",2442
"0008604101","0008604","00086041","1","2","72","02","5","00086","04","1","01","2","2","027","00276",1431
"0008604102","0008604","00086041","4","2","18","","","00086","04","1","02","2","2","027","00276",1431
"0008717101","0008717","00087171","1","2","45","08","4","00087","17","1","01","3","2","105","01255",1919
"0008717102","0008717","00087171","3","1","17","","","00087","17","1","02","3","2","105","01255",1919
"0008802101","0008802","00088021","1","1","56","03","3","00088","02","1","01","1","4","049","00622",4001
"0008802102","0008802","00088021","3","1","35","","","00088","02","1","02","1","4","049","00622",4001
"0008802103","0008802","00088021","2","2","33","","","00088","02","1","03","1","4","049","00622",4001
"0008802104","0008802","00088021","4","2","17","","","00088","02","1","04","1","4","049","00622",4001
"0008802105","0008802","00088021","4","1","09","","","00088","02","1","05","1","4","049","00622",4001
"0008904101","0008904","00089041","1","1","39","10","2","00089","04","1","01","4","2","137","01599",1009
"0008904102","0008904","00089041","2","2","35","","","00089","04","1","02","4","2","137","01599",1009
"0008904103","0008904","00089041","3","1","10","","","00089","04","1","03","4","2","137","01599",1009
"0008904104","0008904","00089041","3","1","00","","","00089","04","1","04","4","2","137","01599",1009
"0009001101","0009001","00090011","1","2","29","08","5","00090","01","1","01","2","3","088","01109",4626
"0009111101","0009111","00091111","1","2","44","03","3","00091","11","1","01","4","1","043","00484",2372
"0009111102","0009111","00091111","3","1","25","","","00091","11","1","02","4","1","043","00484",2372
"0009111103","0009111","00091111","3","2","19","","","00091","11","1","03","4","1","043","00484",2372
"0009111104","0009111","00091111","3","1","14","","","00091","11","1","04","4","1","043","00484",2372
"0009111105","0009111","00091111","5","2","23","","","00091","11","1","05","4","1","043","00484",2372
"0009216101","0009216","00092161","1","2","50","02","6","00092","16","1","01","3","5","115","01405",6115
"0009216102","0009216","00092161","3","2","36","","","00092","16","1","02","3","5","115","01405",6115
"0009216103","0009216","00092161","3","1","26","","","00092","16","1","03","3","5","115","01405",6115
"0009216104","0009216","00092161","5","2","20","","","00092","16","1","04","3","5","115","01405",6115
"0009302101","0009302","00093021","1","1","32","02","6","00093","02","1","01","2","3","185","02139",1468
"0009403101","0009403","00094031","1","1","46","06","3","00094","03","1","01","1","3","079","00991",8242
"0009403102","0009403","00094031","2","2","48","","","00094","03","1","02","1","3","079","00991",8242
"0009403103","0009403","00094031","5","2","91","","","00094","03","1","03","1","3","079","00991",8242
"0009505101","0009505","00095051","1","2","49","03","3","00095","05","1","01","1","1","144","01687",3018
"0009505102","0009505","00095051","5","2","67","","","00095","05","1","02","1","1","144","01687",3018
"0009505103","0009505","00095051","3","1","24","","","00095","05","1","03","1","1","144","01687",3018
"0009619101","0009619","00096191","1","1","86","00","0","00096","19","1","01","4","2","136","01588",1337
"0009619102","0009619","00096191","2","2","63","","","00096","19","1","02","4","2","136","01588",1337
"0009619103","0009619","00096191","5","2","94","","","00096","19","1","03","4","2","136","01588",1337
