nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves
Pregunta P3.12 ¿Este ingreso es...?,1,C,p3_12,p3_12,"1,2"
"Pregunta P3.13 Por parte de su trabajo, ¿usted tiene derecho a los servicios médicos...?",1,C,p3_13,p3_13,"1...7,9"
Pregunta P3.14 ¿Usted tiene un celular inteligente (smartphone)?,1,C,p3_14,p3_14,"1,2"
"Pregunta P3.15 Hace cinco años, en junio de 2019, usted ¿en qué municipio o estado de la República vivía?",1,C,p3_15,p3_15,1...5
"Pregunta P3.15.EPC Hace cinco años, en junio de 2019, usted ¿en que estado de la República o país vivía? - CODIFICADO",3,C,p3_15_epc,p3_15_epc,"001...513,999"
"Pregunta P3.15.MUC Hace cinco años, en junio de 2019, usted ¿en qué municipio vivía? - CODIFICADO",3,C,p3_15_muc,p3_15_muc,"001...565,999"
Pregunta P3.16 ¿Por qué dejó de vivir (RESPUESTA EN 3.15)?,2,C,p3_16,p3_16,01...10
Pregunta P4.1 ¿Usted lleva un presupuesto o un registro de sus ingresos y gastos?,1,C,p4_1,p4_1,"1,2"
Pregunta P4.2.1 Para usted o su hogar ¿hace anotaciones de los gastos?,1,C,p4_2_1,p4_2_1,"1,2"
"Pregunta P4.2.2 Para usted o su hogar ¿mantiene separado el dinero para pagos o deudas, del dinero del gasto diario?",1,C,p4_2_2,p4_2_2,"1,2"
Pregunta P4.2.3 Para usted o su hogar ¿lleva un registro de los recibos o deudas pendientes para asegurarse de no olvidar pagarlos?,1,C,p4_2_3,p4_2_3,"1,2"
Pregunta P4.2.4 Para usted o su hogar ¿usa una aplicación de celular o una herramienta de administración de dinero para dar seguimiento de los gastos?,1,C,p4_2_4,p4_2_4,"1,2"
Pregunta P4.2.5 Para usted o su hogar ¿tiene alguno de sus pagos con cobro automático a una cuenta o tarjeta (pago domiciliado)?,1,C,p4_2_5,p4_2_5,"1,2"
"Pregunta P4.3 En los últimos 12 meses, de junio de 2023 a la fecha, ¿lo que ganó o recibió cada mes fue suficiente para cubrir sus gastos (como vivienda, electricidad, agua, salud, alimentos, ropa o transporte)?",1,C,p4_3,p4_3,"1,2"
"Pregunta P4.4.1 La última vez que no pudo cubrir sus gastos, ¿usted pidió prestado a familiares o personas conocidas?",1,C,p4_4_1,p4_4_1,"1,2"
"Pregunta P4.4.2 La última vez que no pudo cubrir sus gastos, ¿usted utilizó el dinero que tenía ahorrado?",1,C,p4_4_2,p4_4_2,"1,2"
"Pregunta P4.4.3 La última vez que no pudo cubrir sus gastos, ¿usted redujo sus gastos?",1,C,p4_4_3,p4_4_3,"1,2"
"Pregunta P4.4.4 La última vez que no pudo cubrir sus gastos, ¿usted vendió o empeñó algún bien?",1,C,p4_4_4,p4_4_4,"1,2"
"Pregunta P4.4.5 La última vez que no pudo cubrir sus gastos, ¿usted solicitó un adelanto salarial, trabajó horas extras o hizo trabajo temporal?",1,C,p4_4_5,p4_4_5,"1,2"
"Pregunta P4.4.6 La última vez que no pudo cubrir sus gastos, ¿usted utilizó su tarjeta de crédito o solicitó un crédito en un banco o institución financiera?",1,C,p4_4_6,p4_4_6,"1,2"
"Pregunta P4.4.7 La última vez que no pudo cubrir sus gastos, ¿usted se atrasó en el pago de algún crédito o préstamo?",1,C,p4_4_7,p4_4_7,"1,2"
"Pregunta P4.5 ¿Usted ha tomado algún curso sobre cómo ahorrar, hacer un presupuesto o sobre el uso responsable del crédito?",1,C,p4_5,p4_5,"1,2"
Pregunta P4.6.1 Le voy a hacer unas preguntas. Use las respuestas que vienen en la tarjeta (ENTREGUE LA TARJETA 2). Generalmente ¿considera cuidadosamente si puede pagar algo antes de comprarlo?,1,C,p4_6_1,p4_6_1,"1...3,8,9"
"Pregunta P4.6.2 Le voy a hacer unas preguntas. Use las respuestas que vienen en la tarjeta (ENTREGUE LA TARJETA 2). Generalmente ¿paga sus cuentas a tiempo (servicios, tarjeta de crédito, crédito, etcétera)?",1,C,p4_6_2,p4_6_2,"1...3,8,9"
Pregunta P4.6.3 Le voy a hacer unas preguntas. Use las respuestas que vienen en la tarjeta (ENTREGUE LA TARJETA 2). Generalmente ¿prefiere gastar dinero que ahorrarlo para el futuro?,1,C,p4_6_3,p4_6_3,"1...3,8,9"
"Pregunta P4.6.4 Le voy a hacer unas preguntas. Use las respuestas que vienen en la tarjeta (ENTREGUE LA TARJETA 2). Generalmente ¿se pone metas económicas a largo plazo y se esfuerza por alcanzarlas (comprar casa, ahorrar para el retiro, pagar vacaciones o fiestas, comenzar un negocio, etcétera)?",1,C,p4_6_4,p4_6_4,"1...3,8,9"
Pregunta P4.6.5 Le voy a hacer unas preguntas. Use las respuestas que vienen en la tarjeta (ENTREGUE LA TARJETA 2). Generalmente ¿el manejo de sus ingresos y gastos controla su vida?,1,C,p4_6_5,p4_6_5,"1...3,8,9"
Pregunta P4.6.6 Le voy a hacer unas preguntas. Use las respuestas que vienen en la tarjeta (ENTREGUE LA TARJETA 2). Generalmente ¿le sobra dinero a fin de mes?,1,C,p4_6_6,p4_6_6,"1...3,8,9"
"Pregunta P4.7.1 De las siguientes frases, dígame si las considera verdaderas o falsas. La inflación significa que aumenta el precio de las cosas",1,C,p4_7_1,p4_7_1,"1,2,8,9"
"Pregunta P4.7.2 De las siguientes frases, dígame si las considera verdaderas o falsas. Si alguien le ofrece la posibilidad de ganar dinero fácilmente, también lo puede perder fácilmente",1,C,p4_7_2,p4_7_2,"1,2,8,9"
"Pregunta P4.7.3 De las siguientes frases, dígame si las considera verdaderas o falsas. Es mejor ahorrar el dinero en dos o más formas o lugares que en uno solo (una cuenta de ahorro, una tanda con familiares o personas conocidas, etcétera)",1,C,p4_7_3,p4_7_3,"1,2,8,9"
"Pregunta P4.8.1 De las siguientes frases, usando las respuestas de la tarjeta (ENTREGUE LA TARJETA 3). Dígame si está de acuerdo o en desacuerdo. Suele pensar en el presente sin preocuparse por el futuro",1,C,p4_8_1,p4_8_1,"1...3,8,9"
"Pregunta P4.8.2 De las siguientes frases, usando las respuestas de la tarjeta (ENTREGUE LA TARJETA 3). Dígame si está de acuerdo o en desacuerdo. El dinero está para gastarse",1,C,p4_8_2,p4_8_2,"1...3,8,9"
"Pregunta P4.8.3 De las siguientes frases, usando las respuestas de la tarjeta (ENTREGUE LA TARJETA 3). Dígame si está de acuerdo o en desacuerdo. Mantiene una revisión detallada del manejo de su dinero",1,C,p4_8_3,p4_8_3,"1...3,8,9"
"Pregunta P4.8.4 De las siguientes frases, usando las respuestas de la tarjeta (ENTREGUE LA TARJETA 3). Dígame si está de acuerdo o en desacuerdo. Dada su situación económica, siente que tendrá las cosas que desea",1,C,p4_8_4,p4_8_4,"1...3,8,9"
"Pregunta P4.8.5 De las siguientes frases, usando las respuestas de la tarjeta (ENTREGUE LA TARJETA 3). Dígame si está de acuerdo o en desacuerdo. Le alcanza bien el dinero para cubrir sus gastos",1,C,p4_8_5,p4_8_5,"1...3,8,9"
"Pregunta P4.8.6 De las siguientes frases, usando las respuestas de la tarjeta (ENTREGUE LA TARJETA 3). Dígame si está de acuerdo o en desacuerdo. Se siente tranquila(o) de que el dinero que recibe sea suficiente",1,C,p4_8_6,p4_8_6,"1...3,8,9"
"Pregunta P4.9.1 Si el día de hoy se le presentara la oportunidad de comprar una casa, un terreno o abrir un negocio, ¿usted podría aprovecharla con sus ahorros?",1,C,p4_9_1,p4_9_1,"1,2"
"Pregunta P4.9.2 Si el día de hoy se le presentara la oportunidad de comprar una casa, un terreno o abrir un negocio, ¿usted podría aprovecharla solicitando un crédito a un banco o institución financiera/ usando su tarjeta de crédito?",1,C,p4_9_2,p4_9_2,"1,2"
"Pregunta P4.9.3 Si el día de hoy se le presentara la oportunidad de comprar una casa, un terreno o abrir un negocio, ¿usted podría aprovecharla vendiendo o empeñando algún bien?",1,C,p4_9_3,p4_9_3,"1,2"
"Pregunta P4.9.4 Si el día de hoy se le presentara la oportunidad de comprar una casa, un terreno o abrir un negocio, ¿usted podría aprovecharla con el préstamo de familiares o amistades?",1,C,p4_9_4,p4_9_4,"1,2"
"Pregunta P4.10 Si usted dejara de recibir ingresos, ¿por cuánto tiempo podría cubrir sus gastos con sus ahorros?",1,C,p4_10,p4_10,"1...5,8,9"
"Pregunta P4.11 Durante los últimos tres años, de junio de 2021 a la fecha, ¿usted o su hogar se han visto afectados económicamente por alguna inundación, desbordamiento de ríos, sequías, sismos, huracanes, explosiones, entre otros (desastres naturales u ocasionados por las personas)?",1,C,p4_11,p4_11,"1,2"
"Pregunta P4.12.01 De la siguiente tarjeta (ENTREGUE LA TARJETA 4) dígame, ¿qué medios utilizó usted o alguien de su hogar para enfrentar esta afectación económica? - PIDIÓ PRESTADO A FAMILIARES O PERSONAS CONOCIDAS",1,C,p4_12_01,p4_12_01,"0,1"
"Pregunta P4.12.02 De la siguiente tarjeta (ENTREGUE LA TARJETA 4) dígame, ¿qué medios utilizó usted o alguien de su hogar para enfrentar esta afectación económica? - UTILIZÓ EL DINERO QUE TENÍA AHORRADO",1,C,p4_12_02,p4_12_02,"0,1"
"Pregunta P4.12.03 De la siguiente tarjeta (ENTREGUE LA TARJETA 4) dígame, ¿qué medios utilizó usted o alguien de su hogar para enfrentar esta afectación económica? - VENDIÓ O EMPEÑÓ ALGÚN BIEN",1,C,p4_12_03,p4_12_03,"0,1"
"Pregunta P4.12.04 De la siguiente tarjeta (ENTREGUE LA TARJETA 4) dígame, ¿qué medios utilizó usted o alguien de su hogar para enfrentar esta afectación económica? - USÓ TARJETA DE CRÉDITO, CRÉDITO DE UN BANCO O INSTITUCIÓN FINANCIERA",1,C,p4_12_04,p4_12_04,"0,1"
"Pregunta P4.12.05 De la siguiente tarjeta (ENTREGUE LA TARJETA 4) dígame, ¿qué medios utilizó usted o alguien de su hogar para enfrentar esta afectación económica? - USÓ ALGÚN SEGURO O MICROSEGURO",1,C,p4_12_05,p4_12_05,"0,1"
"Pregunta P4.12.06 De la siguiente tarjeta (ENTREGUE LA TARJETA 4) dígame, ¿qué medios utilizó usted o alguien de su hogar para enfrentar esta afectación económica? - OBTUVO UN APOYO ECONÓMICO O EN ESPECIE DEL GOBIERNO",1,C,p4_12_06,p4_12_06,"0,1"
"Pregunta P4.12.07 De la siguiente tarjeta (ENTREGUE LA TARJETA 4) dígame, ¿qué medios utilizó usted o alguien de su hogar para enfrentar esta afectación económica? - TUVO ADELANTO SALARIAL, TRABAJÓ HORAS EXTRAS O UN TRABAJO TEMPORAL",1,C,p4_12_07,p4_12_07,"0,1"
"Pregunta P4.12.08 De la siguiente tarjeta (ENTREGUE LA TARJETA 4) dígame, ¿qué medios utilizó usted o alguien de su hogar para enfrentar esta afectación económica? - NO HAN RESUELTO LA AFECTACIÓN",1,C,p4_12_08,p4_12_08,"0,1"
"Pregunta P4.12.09 De la siguiente tarjeta (ENTREGUE LA TARJETA 4) dígame, ¿qué medios utilizó usted o alguien de su hogar para enfrentar esta afectación económica? - OTRO",1,C,p4_12_09,p4_12_09,"0,1"
"Pregunta P4.12.99 De la siguiente tarjeta (ENTREGUE LA TARJETA 4) dígame, ¿qué medios utilizó usted o alguien de su hogar para enfrentar esta afectación económica? - NO SABE",1,C,p4_12_99,p4_12_99,"0,1"
"Pregunta P5.1.1 En los últimos 12 meses, de junio de 2023 a la fecha, ¿usted ahorró prestando dinero?",1,C,p5_1_1,p5_1_1,"1,2"
"Pregunta P5.1.2 En los últimos 12 meses, de junio de 2023 a la fecha, ¿usted ahorró comprando animales o bienes?",1,C,p5_1_2,p5_1_2,"1,2"
"Pregunta P5.1.3 En los últimos 12 meses, de junio de 2023 a la fecha, ¿usted guardó dinero en una caja de ahorro del trabajo o de personas conocidas?",1,C,p5_1_3,p5_1_3,"1,2"
"Pregunta P5.1.4 En los últimos 12 meses, de junio de 2023 a la fecha, ¿usted guardó dinero con familiares o personas conocidas?",1,C,p5_1_4,p5_1_4,"1,2"
"Pregunta P5.1.5 En los últimos 12 meses, de junio de 2023 a la fecha, ¿usted participó en una tanda?",1,C,p5_1_5,p5_1_5,"1,2"
"Pregunta P5.1.6 En los últimos 12 meses, de junio de 2023 a la fecha, ¿usted guardó dinero en su casa?",1,C,p5_1_6,p5_1_6,"1,2"
"Pregunta P5.2.1 El dinero que guardó o ahorró durante ese año, ¿en qué lo gastó o para qué piensa usarlo? - GASTOS DE COMIDA, PERSONALES O PAGO DE SERVICIOS",1,C,p5_2_1,p5_2_1,"0,1"
"Pregunta P5.2.2 El dinero que guardó o ahorró durante ese año, ¿en qué lo gastó o para qué piensa usarlo? - ATENDER EMERGENCIAS E IMPREVISTOS",1,C,p5_2_2,p5_2_2,"0,1"
"Pregunta P5.2.3 El dinero que guardó o ahorró durante ese año, ¿en qué lo gastó o para qué piensa usarlo? - COMPRAR, REPARAR, REMODELAR O AMPLIAR UNA CASA; COMPRAR TERRENOS, VEHÍCULOS, JOYAS, ANIMALES, ETCÉTERA",1,C,p5_2_3,p5_2_3,"0,1"
"Pregunta P5.2.4 El dinero que guardó o ahorró durante ese año, ¿en qué lo gastó o para qué piensa usarlo? - GASTOS DE SALUD",1,C,p5_2_4,p5_2_4,"0,1"
"Pregunta P5.2.5 El dinero que guardó o ahorró durante ese año, ¿en qué lo gastó o para qué piensa usarlo? - GASTOS DE EDUCACIÓN",1,C,p5_2_5,p5_2_5,"0,1"
"Pregunta P5.2.6 El dinero que guardó o ahorró durante ese año, ¿en qué lo gastó o para qué piensa usarlo? - PAGAR VACACIONES O FIESTAS (XV AÑOS, BODAS, ETCÉTERA)",1,C,p5_2_6,p5_2_6,"0,1"
"Pregunta P5.2.7 El dinero que guardó o ahorró durante ese año, ¿en qué lo gastó o para qué piensa usarlo? - COMENZAR, AMPLIAR U OPERAR UN NEGOCIO (MATERIA PRIMA, MAQUINARIA Y EQUIPO)",1,C,p5_2_7,p5_2_7,"0,1"
"Pregunta P5.2.8 El dinero que guardó o ahorró durante ese año, ¿en qué lo gastó o para qué piensa usarlo? - PARA LA VEJEZ O RETIRO",1,C,p5_2_8,p5_2_8,"0,1"
"Pregunta P5.2.9 El dinero que guardó o ahorró durante ese año, ¿en qué lo gastó o para qué piensa usarlo? - OTRO",1,C,p5_2_9,p5_2_9,"0,1"
"Pregunta P5.3 Lo que me dice que ahorró de junio de 2023 a la fecha, ¿es igual o equivalente a lo que gana o recibe en...?",1,C,p5_3,p5_3,"1...4,9"
Pregunta P5.4.1 ¿Usted tiene cuenta o tarjeta de nómina (donde depositan su sueldo)?,1,C,p5_4_1,p5_4_1,"1,2"
"Pregunta P5.5.1 ¿Con su cuenta o tarjeta de nómina (donde depositan su sueldo) tiene tarjeta de débito, es decir, el plástico con el que puede retirar y depositar dinero?",1,C,p5_5_1,p5_5_1,"1,2"
"Pregunta P5.6.1 De junio de 2023 a la fecha, ¿usted guardó o ahorró en su cuenta o tarjeta de nómina (donde depositan su sueldo)?",1,C,p5_6_1,p5_6_1,"1,2"
Pregunta P5.4.2 ¿Usted tiene cuenta o tarjeta de pensión (donde depositan su pensión)?,1,C,p5_4_2,p5_4_2,"1,2"
"Pregunta P5.5.2 ¿Con su cuenta o tarjeta de pensión (donde depositan su pensión) tiene tarjeta de débito, es decir, el plástico con el que puede retirar y depositar dinero?",1,C,p5_5_2,p5_5_2,"1,2"
"Pregunta P5.6.2 De junio de 2023 a la fecha, ¿usted guardó o ahorró en su cuenta o tarjeta de pensión (donde depositan su pensión)?",1,C,p5_6_2,p5_6_2,"1,2"
Pregunta P5.4.3 ¿Usted tiene cuenta o tarjeta para recibir apoyos de gobierno?,1,C,p5_4_3,p5_4_3,"1,2"
"Pregunta P5.5.3 ¿Con su cuenta o tarjeta para recibir apoyos de gobierno tiene tarjeta de débito, es decir, el plástico con el que puede retirar y depositar dinero?",1,C,p5_5_3,p5_5_3,"1,2"
"Pregunta P5.6.3 De junio de 2023 a la fecha, ¿usted guardó o ahorró en su cuenta o tarjeta para recibir apoyos de gobierno?",1,C,p5_6_3,p5_6_3,"1,2"
Pregunta P5.4.4 ¿Usted tiene cuenta de ahorro?,1,C,p5_4_4,p5_4_4,"1,2"
"Pregunta P5.5.4 ¿Con su cuenta de ahorro tiene tarjeta de débito, es decir, el plástico con el que puede retirar y depositar dinero?",1,C,p5_5_4,p5_5_4,"1,2"
"Pregunta P5.6.4 De junio de 2023 a la fecha, ¿usted guardó o ahorró en su cuenta de ahorro?",1,C,p5_6_4,p5_6_4,"1,2"
Pregunta P5.4.5 ¿Usted tiene cuenta de cheques?,1,C,p5_4_5,p5_4_5,"1,2"
"Pregunta P5.5.5 ¿Con su cuenta de cheques tiene tarjeta de débito, es decir, el plástico con el que puede retirar y depositar dinero?",1,C,p5_5_5,p5_5_5,"1,2"
"Pregunta P5.6.5 De junio de 2023 a la fecha, ¿usted guardó o ahorró en su cuenta de cheques?",1,C,p5_6_5,p5_6_5,"1,2"
Pregunta P5.4.6 ¿Usted tiene depósito a plazo fijo (solo puede retirar en determinadas fechas)?,1,C,p5_4_6,p5_4_6,"1,2"
"Pregunta P5.6.6 De junio de 2023 a la fecha, ¿usted guardó o ahorró en su depósito a plazo fijo (sólo puede retirar en determinadas fechas)?",1,C,p5_6_6,p5_6_6,"1,2"
Pregunta P5.4.7 ¿Usted tiene fondo de inversión (tener acciones en casa de bolsa)?,1,C,p5_4_7,p5_4_7,"1,2"
"Pregunta P5.6.7 De junio de 2023 a la fecha, ¿usted guardó o ahorró en su fondo de inversión (tener acciones en casa de bolsa)?",1,C,p5_6_7,p5_6_7,"1,2"
"Pregunta P5.4.8 ¿Usted tiene cuenta contratada por Internet o aplicación (no bancaria) como Mercado Pago, Nu o Spin de Oxxo?",1,C,p5_4_8,p5_4_8,"1,2"
"Pregunta P5.5.8 ¿Con su cuenta contratada por Internet o aplicación (no bancaria) como Mercado Pago, Nu o Spin de Oxxo tiene tarjeta de débito, es decir, el plástico con el que puede retirar y depositar dinero?",1,C,p5_5_8,p5_5_8,"1,2"
"Pregunta P5.6.8 De junio de 2023 a la fecha, ¿usted guardó o ahorró en su cuenta contratada por Internet o aplicación (no bancaria) como Mercado Pago, Nu o Spin de Oxxo?",1,C,p5_6_8,p5_6_8,"1,2"
Pregunta P5.4.9 ¿Usted tiene otro tipo de cuenta?,1,C,p5_4_9,p5_4_9,"1,2"
"Pregunta P5.5.9 ¿Con su otro tipo de cuenta tiene tarjeta de débito, es decir, el plástico con el que puede retirar y depositar dinero?",1,C,p5_5_9,p5_5_9,"1,2"
"Pregunta P5.6.9 De junio de 2023 a la fecha, ¿usted guardó o ahorró en su otro tipo de cuenta?",1,C,p5_6_9,p5_6_9,"1,2"
Pregunta P5.7.01 ¿Cuáles son las razones principales por las que adquirió esta(s) cuenta(s)? - LE GUSTA AHORRAR,1,C,p5_7_01,p5_7_01,"0,1"
Pregunta P5.7.02 ¿Cuáles son las razones principales por las que adquirió esta(s) cuenta(s)? - PARA INVERTIR O LE PERMITE GANAR INTERESES,1,C,p5_7_02,p5_7_02,"0,1"
Pregunta P5.7.03 ¿Cuáles son las razones principales por las que adquirió esta(s) cuenta(s)? - SE LA DIERON PARA DEPOSITARLE SU SALARIO O PENSIÓN,1,C,p5_7_03,p5_7_03,"0,1"
Pregunta P5.7.04 ¿Cuáles son las razones principales por las que adquirió esta(s) cuenta(s)? - TIENE UN NEGOCIO Y AHÍ DEPOSITA Y ADMINISTRA SU DINERO,1,C,p5_7_04,p5_7_04,"0,1"
Pregunta P5.7.05 ¿Cuáles son las razones principales por las que adquirió esta(s) cuenta(s)? - PARA RECIBIR UN APOYO GUBERNAMENTAL,1,C,p5_7_05,p5_7_05,"0,1"
Pregunta P5.7.06 ¿Cuáles son las razones principales por las que adquirió esta(s) cuenta(s)? - ES UNA FORMA SEGURA DE AHORRO,1,C,p5_7_06,p5_7_06,"0,1"
Pregunta P5.7.07 ¿Cuáles son las razones principales por las que adquirió esta(s) cuenta(s)? - ES UNA FORMA SENCILLA PARA COMPRAR Y PAGAR COSAS,1,C,p5_7_07,p5_7_07,"0,1"
Pregunta P5.7.08 ¿Cuáles son las razones principales por las que adquirió esta(s) cuenta(s)? - PARA RECIBIR UN PAGO,1,C,p5_7_08,p5_7_08,"0,1"
Pregunta P5.7.09 ¿Cuáles son las razones principales por las que adquirió esta(s) cuenta(s)? - PARA PODER ACCEDER A OTRO PRODUCTO O SERVICIO FINANCIERO (CRÉDITO O DOMICILIACIÓN),1,C,p5_7_09,p5_7_09,"0,1"
Pregunta P5.7.10 ¿Cuáles son las razones principales por las que adquirió esta(s) cuenta(s)? - OTRO,1,C,p5_7_10,p5_7_10,"0,1"
Pregunta P5.7.99 ¿Cuáles son las razones principales por las que adquirió esta(s) cuenta(s)? - NO SABE,1,C,p5_7_99,p5_7_99,"0,1"
Pregunta FILTRO.S5.1 ¿Guardó dinero en alguna cuenta (5.6 = 1 en cualquier opción)?,1,C,filtro_s5_1,filtro_s5_1,"1,2"
"Pregunta P5.8.1 Me dijo que sí guardó o ahorró dinero de junio de 2023 a la fecha, por favor dígame, ¿en qué usó o piensa usar ese dinero? - ATENDER EMERGENCIAS O IMPREVISTOS",1,C,p5_8_1,p5_8_1,"0,1"
"Pregunta P5.8.2 Me dijo que sí guardó o ahorró dinero de junio de 2023 a la fecha, por favor dígame, ¿en qué usó o piensa usar ese dinero? - GASTOS DE COMIDA, PERSONALES O PAGO DE SERVICIOS",1,C,p5_8_2,p5_8_2,"0,1"
"Pregunta P5.8.3 Me dijo que sí guardó o ahorró dinero de junio de 2023 a la fecha, por favor dígame, ¿en qué usó o piensa usar ese dinero? - COMPRAR, REPARAR, REMODELAR O AMPLIAR UNA CASA; COMPRAR TERRENOS, VEHÍCULOS, JOYAS, ANIMALES, ETCÉTERA",1,C,p5_8_3,p5_8_3,"0,1"
"Pregunta P5.8.4 Me dijo que sí guardó o ahorró dinero de junio de 2023 a la fecha, por favor dígame, ¿en qué usó o piensa usar ese dinero? - GASTOS DE EDUCACIÓN",1,C,p5_8_4,p5_8_4,"0,1"
"Pregunta P5.8.5 Me dijo que sí guardó o ahorró dinero de junio de 2023 a la fecha, por favor dígame, ¿en qué usó o piensa usar ese dinero? - PAGAR VACACIONES O FIESTAS (XV AÑOS, BODAS, ETCÉTERA)",1,C,p5_8_5,p5_8_5,"0,1"
"Pregunta P5.8.6 Me dijo que sí guardó o ahorró dinero de junio de 2023 a la fecha, por favor dígame, ¿en qué usó o piensa usar ese dinero? - GASTOS DE SALUD",1,C,p5_8_6,p5_8_6,"0,1"
"Pregunta P5.8.7 Me dijo que sí guardó o ahorró dinero de junio de 2023 a la fecha, por favor dígame, ¿en qué usó o piensa usar ese dinero? - COMENZAR, AMPLIAR U OPERAR UN NEGOCIO (MATERIA PRIMA, MAQUINARIA Y EQUIPO)",1,C,p5_8_7,p5_8_7,"0,1"
"Pregunta P5.8.8 Me dijo que sí guardó o ahorró dinero de junio de 2023 a la fecha, por favor dígame, ¿en qué usó o piensa usar ese dinero? - PARA LA VEJEZ O RETIRO",1,C,p5_8_8,p5_8_8,"0,1"
"Pregunta P5.8.9 Me dijo que sí guardó o ahorró dinero de junio de 2023 a la fecha, por favor dígame, ¿en qué usó o piensa usar ese dinero? - OTRO",1,C,p5_8_9,p5_8_9,"0,1"
"Pregunta P5.9 Lo que usted ahorró en esta(s) cuenta(s) de junio de 2023 a la fecha, ¿es igual o equivalente a lo que gana o recibe en...?",1,C,p5_9,p5_9,"1...4,9"
